"State","Congressional.District.Number","CD_Name","Under35","Over65","MedianAge","Male","WhiteNoHispanic","Black","Hispanic","ForeignBorn","NeverMarried","Married","LessThanHS","HSGrad","SomeCollORAssoc","Bachelors","GradProf","BachGrad","MedianIncome","Poverty","MedianEarnings_HS","MedianEarnings_Bach","MedianEarnings_HSBach_Diff","Urbanicity","LFPR","Religiosity","Evangelical","RomanCatholic","AvgGOPPres","Veteran","cluster"
"AL",1,"AL01",28.2625930617141,20.9019734399863,39.6,48.3596907118083,66.5473573952624,28.1918540160589,3.01038917477999,2.87954480368647,29.9624645503452,47.1905096779108,13.54252107662,32.8600783027085,30.3418767281983,15.3715573444727,7.88396654800057,23.2555238924733,23809,18.2599869606449,26942,44747,17805,66.51241987,69.8,59.33,35.985,6.836,62.65,10.1210912604593,"3"
"AL",2,"AL02",29.7257394001084,20.1638143437438,38.7,48.6873154812782,63.7590789805284,31.4186675761367,3.52942774316124,2.82979319089809,30.6209071064759,46.8190818886407,16.2076282690332,32.1572306963874,29.8365184755625,13.6584285183713,8.14019404064559,21.7986225590169,22951,19.0982651545113,25595,43956,18361,52.98907743,69.9,62.924,41.722,2.067,63.9,11.3568924177055,"3"
"AL",3,"AL03",30.9712505716642,19.2501602496405,38.5,48.7757926286367,69.6233715356388,25.8271256421054,2.92246903001554,2.87267002318974,29.6870901058773,48.4525895689706,16.8282186554372,31.7915818043784,30.2131970088329,12.658478307156,8.50852422419559,21.1670025313516,22398,19.4600007141667,27081,44018,16937,49.16401198,69,57.356,39.893,1.959,63.8,9.83031757754801,"3"
"AL",4,"AL04",26.3536845059419,22.2062094558335,41,48.9993110931739,85.5639607090437,7.09630800496782,6.21549809943171,3.78484818918032,23.7942452553008,53.1130526319584,19.8387906747129,33.9624809553397,29.8996910296458,10.1175023619635,6.18153497833803,16.2990373403015,21456,18.4914812707728,26277,43936,17659,34.05178357,67.5,66.664,53.692,4.246,77.6,8.38229296100619,"3"
"AL",5,"AL05",28.7365443444648,19.3587729868401,39.8,48.880217486425,75.2274226027155,17.7046656225344,4.9623759111624,4.53321473915258,28.1836634678549,51.0614818342017,13.2520727478358,27.2340770554923,29.0195091932707,19.3152239898213,11.1791170135799,30.4943410034012,26479,14.8514938772632,26485,52490,26005,65.61191174,73.4,55.356,38.622,4.167,64.3,10.6177952900211,"3"
"AL",6,"AL06",27.78378969436,19.1701795531156,39.3,48.4995536162906,78.2701560155794,14.8846696771047,4.91593191778696,4.66540154872573,25.9559007767477,54.6234384508,10.5723631104534,25.3464280909458,28.8344628682901,21.6967408852415,13.5500050450693,35.2467459303108,30808,10.9258522862162,30771,52908,22137,68.93445445,75.1,68.463,43.528,5.537,72.55,8.25729272802747,"3"
"AL",7,"AL07",34.5127519641109,18.0690590166307,36.3,46.9421507448396,32.5062452506518,63.9795783716391,2.66327519600304,2.58900404911769,42.5703955655422,33.6178075279785,16.4642922625596,33.7126420975431,30.7235515218188,12.4351393472681,6.66437477081042,19.0995141180785,18710,27.1297883614375,23702,41145,17443,71.48631189,66,70.368,40.843,4.575,27.85,7.46373041690249,"7"
"AK",1,"AK01",35.3789516039466,12.6183683241722,34.2,52.3224711351688,67.7858004395023,3.62897350819298,7.2062762015342,7.60542013180012,34.5414718265003,48.315700621935,7.65499820479755,27.7270612429599,35.8256550364458,18.3877594811121,10.4045260346846,28.7922855157967,31944,10.0377275433641,34234,53316,19082,59.61194526,78,33.909,14.215,7.162,54.05,12.7886093267049,"1"
"AZ",1,"AZ01",30.6923481860204,21.7917330698838,37.4,50.337963306841,51.3726081403585,2.40672209627457,22.2594060138185,6.27371038869219,35.0770506884128,46.4333441995655,14.5822407289225,26.6557564192484,35.1219399178151,14.2968471912432,9.34321574277091,23.6400629340141,23676,21.4395253610743,26812,43891,17079,59.82151129,65.5,34.601,8.127,11.84,49.05,9.85022916741853,"5"
"AZ",2,"AZ02",28.9966823658212,24.9263282341687,41.1,49.3961696817239,64.9199422024614,4.32719503152193,28.5929288873388,11.2781437709951,30.8761764410356,46.9529758515591,9.61665923524662,21.1299373752224,36.2293778093781,18.9878807598527,14.0361448203002,33.0240255801529,25681,16.3641766812113,25076,44464,19388,89.19073172,72.9,39.945,10.111,20.69,47.3,13.4702730333629,"1"
