name,State,District,CD_Name,year,MedianAge,Male,White,Black,Hispanic,ForeignBorn,Married,HSGrad,BachGrad,MedianIncome,Poverty,MedianEarningsHS,MedianEarningsBach,MedEarnDiff,Urbanicity,LFPR,Religiosity,Evangelical,Catholic,Veteran,Cluster,GOP_Candidate,GOP_Incumbent,GOP_Result,Dem_Candidate,Dem_Incumbent,Dem_Result,Total_Receipts_GOP,Total_Disbursement_GOP,COH_Ending_GOP,COH_Beginning_GOP,Debt_Owed_By_Committee_GOP,Individual_Itemized_Contribution_GOP,Individual_Unitemized_Contribution_GOP,Individual_Contribution_GOP,Other_Committee_Contribution_GOP,Party_Committee_Contribution_GOP,Total_Contribution_GOP,Transfer_From_Other_Authorized_Committee_GOP,Total_Loan_GOP,Offset_To_Operating_Expenditure_GOP,Other_Receipts_GOP,Operating_Expenditure_GOP,Transfer_To_Other_Authorized_Committee_GOP,Total_Loan_Repayment_GOP,Total_Contribution_Refund_GOP,Other_Disbursements_GOP,Net_Contribution_GOP,Net_Operating_Expenditure_GOP,Prct_Receipts_From_Ind_Contr_GOP,Prct_Receipts_From_Committee_GOP,Burn_Rate_GOP,Total_Receipts_Dem,Total_Disbursement_Dem,COH_Ending_Dem,COH_Beginning_Dem,Debt_Owed_By_Committee_Dem,Individual_Itemized_Contribution_Dem,Individual_Unitemized_Contribution_Dem,Individual_Contribution_Dem,Other_Committee_Contribution_Dem,Party_Committee_Contribution_Dem,Total_Contribution_Dem,Transfer_From_Other_Authorized_Committee_Dem,Total_Loan_Dem,Offset_To_Operating_Expenditure_Dem,Other_Receipts_Dem,Operating_Expenditure_Dem,Transfer_To_Other_Authorized_Committee_Dem,Total_Loan_Repayment_Dem,Total_Contribution_Refund_Dem,Other_Disbursements_Dem,Net_Contribution_Dem,Net_Operating_Expenditure_Dem,Prct_Receipts_From_Ind_Contr_Dem,Prct_Receipts_From_Committee_Dem,Burn_Rate_Dem,Prct_Total_Receipts_GOP,Prct_Total_Disbursement_GOP,Prct_COH_GOP,Prct_Individual_Contribution_GOP,Prct_Committee_Contribution_GOP,Total_Receipts_Diff_GOP,Total_Disbursement_Diff_GOP,COH_Adv_GOP,Individual_Contribution_Adv_GOP,Committee_Contribution_Adv_GOP,dccc_dem_support,dccc_dem_oppose,dccc_gop_support,dccc_gop_oppose,dccc_indicator,nrcc_dem_support,nrcc_dem_oppose,nrcc_gop_support,nrcc_gop_oppose,nrcc_indicator,hmp_dem_support,hmp_dem_oppose,hmp_gop_support,hmp_gop_oppose,hmp_indicator,clf_dem_support,clf_dem_oppose,clf_gop_support,clf_gop_oppose,clf_indicator,PVI,AdjPVI,President,President_Time,House,House_Time,CD_Time_Indicator,Midterm,GOP_Polling,Dem_Polling,Gap_Polling,AvgPollsterRating_Polling,NumberOfPolls,GOP_GenericBallot,Dem_GenericBallot,Gap_GenericBallot,Pres_Approval,Pres_Disapproval,Pres_NetApproval,winner
AK01_2012,AK,1,AK01,2012,34.2,52.3224711351688,67.7858004395023,3.62897350819298,7.2062762015342,7.60542013180012,48.315700621935,27.7270612429599,28.7922855157967,31944,10.0377275433641,34234,53316,19082,59.61194526,78,33.909,14.215,7.162,12.7886093267049,"1",Don Young,1,63.94,Sharon M. Cissna,0,28.61,1003531.63,665974.39,508299.46,170742.22,0.0,560730.86,63764.0,624494.86,374040.13,477.2,999012.19,0.0,0.0,3530.72,988.72,658474.39,0.0,0.0,4900.0,2600.0,994112.19,654943.67,62.2297136762894,37.27238074200013,39.89050545621872,19660.0,24388.0,0.0,0.0,13000.0,4298.0,9520.0,13818.0,1000.0,0.0,14818.0,0.0,4842.0,0.0,0.0,7265.0,1450.0,0.0,0.0,15673.0,14818.0,7265.0,70.28484231943033,5.0864699898270604,55.3668725027243,98.07856129550238,96.46736259777998,100.0,97.83523083022328,99.73336186716872,983871.63,641586.39,508299.46,610676.86,373040.13,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,13.25208123,11.37497821167703,D,-4,R,2,1,0,NA,NA,NA,NA,0,43.70986901745427,45.58697203577724,-1.8771030183229698,49.81547917153459,47.46680533638458,2.3486738351500094,1
AK01_2014,AK,1,AK01,2014,34.2,52.3224711351688,67.7858004395023,3.62897350819298,7.2062762015342,7.60542013180012,48.315700621935,27.7270612429599,28.7922855157967,31944,10.0377275433641,34234,53316,19082,59.61194526,78,33.909,14.215,7.162,12.7886093267049,"1",Don Young,1,50.97,Forrest Dunbar,0,40.97,788960.16,809039.2,488220.42,508299.46,0.0,431612.66,30245.16,461857.82,289540.14,0.0,751397.96,0.0,0.0,36717.13,845.07,794389.2,0.0,0.0,6850.0,7800.0,744547.96,757672.07,58.54006874060662,36.698955749552674,50.62825557076569,237456.58,230088.83,7367.75,0.0,0.0,121229.98,111902.0,233131.98,1000.0,3324.6,237456.58,0.0,0.0,0.0,0.0,230088.83,0.0,0.0,0.0,0.0,237456.58,230088.83,98.17878283263408,0.4211296229399076,49.212081880987775,76.86548058442617,77.85750905016006,98.51333214834406,66.45533790567862,99.65581347899123,551503.5800000001,578950.37,480852.67,228725.84,288540.14,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,12.00551419,13.381437877754486,D,-6,R,4,1,1,46.95640968832038,38.31564751784409,8.640762170476286,2.6666666666666665,3,45.32914078550149,43.953217097747,1.3759236877544865,41.015093528810425,53.50975387132419,-12.494660342513768,1
AK01_2016,AK,1,AK01,2016,34.2,52.3224711351688,67.7858004395023,3.62897350819298,7.2062762015342,7.60542013180012,48.315700621935,27.7270612429599,28.7922855157967,31944,10.0377275433641,34234,53316,19082,59.61194526,78,33.909,14.215,7.162,12.7886093267049,"1",Don Young,1,50.32,Steve Lindbeck,0,36.02,1103561.86,1322055.12,269726.86,488220.12,0.0,596931.16,43461.88,640393.04,459603.99,0.0,1099997.03,0.0,0.0,3100.44,464.39,1312030.12,0.0,0.0,5250.0,4775.0,1094747.03,1308929.68,58.02964593212745,41.64732460036268,54.50386977419658,1102309.77,1098098.09,4211.68,0.0,10800.0,657396.01,342004.97,999400.98,67074.61,5000.0,1089030.59,0.0,0.0,13279.18,0.0,1027501.87,0.0,0.0,884.01,69712.21,1088146.58,1014222.69,90.66425855955173,6.0849147694663,49.904297742328545,50.028380844627854,54.62691843381271,98.46254564983809,39.053261091902264,87.2646031184863,1252.0900000000838,223957.03000000003,265515.18,-359007.93999999994,392529.38,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,12.00551419,10.728306752779993,D,-8,R,6,1,0,NA,NA,NA,NA,0,45.03020454385814,46.30741198107815,-1.2772074372200066,52.24266879869627,44.76620948716126,7.4764593115350095,1
AK01_2018,AK,1,AK01,2018,34.2,52.3224711351688,67.7858004395023,3.62897350819298,7.2062762015342,7.60542013180012,48.315700621935,27.7270612429599,28.7922855157967,31944,10.0377275433641,34234,53316,19082,59.61194526,78,33.909,14.215,7.162,12.7886093267049,"1",Don Young,1,NA,Alyse Galvin,0,NA,801348.28,636157.47,434917.67,269726.86,0.0,391526.19,29748.93,421275.12,375661.9,0.0,796937.02,0.0,0.0,4197.03,214.23,624824.33,0.0,0.0,1500.0,9833.14,795437.02,620627.3,52.57078981937791,46.878730431666995,44.254255678629455,601006.36,349190.28,251816.08,0.0,12690.0,414763.93,156999.98,571763.91,9000.0,0.0,601006.36,0.0,0.0,0.0,0.0,348378.28,0.0,0.0,812.0,0.0,600194.36,348378.28,95.13441920980671,1.4974883127692693,36.749264867954075,57.14305476965512,64.5617214836082,63.33133765451312,42.422815949137465,97.66028296537816,200341.92000000004,286967.18999999994,183101.59,-150488.79000000004,366661.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,9.396048664,1.143649005825937,R,2,R,8,1,1,50.00000000000001,46.0,4.000000000000007,2.0,1,41.27666806954158,49.52906772771564,-8.252399658174063,43.78464103634852,52.66214948750293,-8.877508451154412,NA
AK01o_2008,AK,1,AK01o,2008,33.3,52.076887934511,70.9825193774833,3.96512854719383,6.1339315205993,6.69770874907551,49.4623272503434,28.5275546583051,26.5185248819972,31635.47254,9.513196319777,34582.02,53054.56,18472.54,66.59296029,78.2,34.02,13.864,7.467,14.9986448378667,"1",Don E. Young,1,50.14,Ethan A. Berkowitz,0,44.97,1412031.02,3213536.55,57037.18,1858542.71,0.0,715785.67,41660.0,757445.67,389646.56,6098.0,1153190.23,4448.75,0.0,165063.24,89328.8,3110516.9,50000.0,0.0,13425.0,39594.65,1139765.23,2945453.66,53.642282589514224,27.594759214284114,69.47334573257568,1646062.53,1634983.99,11078.54,0.0,7742.97,1087918.55,305396.27,1393314.82,249550.0,242.9,1645437.07,0.0,0.0,0.0,625.46,1631433.99,0.0,0.0,3550.0,0.0,1641887.07,1631433.99,84.64531538786683,15.160420424611695,49.83117368296259,46.17357176663219,66.27870344135945,83.73570741085905,35.217574133510325,60.958801154999954,-234031.51,1578552.5599999998,45958.64,-635869.15,140096.56,650855.6,0.0,0.0,644160.18,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,14.73096017,5.710596626686364,R,8,D,-2,0,0,43.65918945576602,49.68937379908911,-6.030184343323093,2.0,3,38.07490513227367,47.095268675587306,-9.020363543313636,25.046943621264738,69.52139374558267,-44.47445012431793,1
AK01o_2010,AK,1,AK01o,2010,33.3,52.076887934511,70.9825193774833,3.96512854719383,6.1339315205993,6.69770874907551,49.4623272503434,28.5275546583051,26.5185248819972,31635.47254,9.513196319777,34582.02,53054.56,18472.54,66.59296029,78.2,34.02,13.864,7.467,14.9986448378667,"1",Don Young,1,68.96,Harry T. Jr. Crawford,0,30.51,1001015.37,887310.33,170742.22,57037.18,0.0,553875.18,66313.0,620188.18,341854.57,350.0,962392.75,0.0,0.0,38622.62,0.0,865579.68,0.0,0.0,21730.65,0.0,940662.1,826957.06,61.95590982783812,34.15078132116992,46.98926302808885,240439.24,235571.43,4867.81,0.0,5000.0,129081.88,85054.71,214136.59,14200.0,1749.99,235918.99,0.0,0.0,4345.05,175.2,233721.43,0.0,0.0,1350.0,500.0,234568.99,229376.38,89.06058345551251,5.9058579622860226,49.48868688174574,80.63245824186839,79.02081604745275,97.22805696235004,74.33414448428758,96.01184728509453,760576.13,651738.8999999999,165874.41,406051.5900000001,327654.57,0.0,0.0,0.0,13475.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,13.25208123,18.189695737727114,D,-2,D,-4,0,1,NA,NA,NA,NA,0,47.87847907878235,42.940864571055236,4.937614507727112,45.90464416311781,48.30774678528369,-2.403102622165882,1
AL01_2012,AL,1,AL01,2012,39.6,48.3596907118083,66.5473573952624,28.1918540160589,3.01038917477999,2.87954480368647,47.1905096779108,32.8600783027085,23.2555238924733,23809,18.2599869606449,26942,44747,17805,66.51241987,69.8,59.33,35.985,6.836,10.1210912604593,"3",Jo Bonner,1,97.86,NA,0,0.0,1140566.63,1263168.28,157209.22,279810.87,0.0,537708.0,26755.0,564463.0,523034.4,0.0,1087497.4,42871.65,0.0,9269.85,927.73,1094818.28,0.0,0.0,1500.0,166850.0,1085997.4,1085548.43,49.48969969426513,45.8574173785884,52.55023233822401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,1140566.63,1263168.28,157209.22,564463.0,523034.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,14.4041436,12.52704058167703,D,-4,R,2,1,0,NA,NA,NA,NA,0,43.70986901745427,45.58697203577724,-1.8771030183229698,49.81547917153459,47.46680533638458,2.3486738351500094,1
AL01_2014,AL,1,AL01,2014,39.6,48.3596907118083,66.5473573952624,28.1918540160589,3.01038917477999,2.87954480368647,47.1905096779108,32.8600783027085,23.2555238924733,23809,18.2599869606449,26942,44747,17805,66.51241987,69.8,59.33,35.985,6.836,10.1210912604593,"3",Bradley Byrne,1,68.16,Burton R. LeFlore,0,31.71,1907597.44,1655998.6,251598.84,0.0,0.0,858534.61,55972.69,914507.3,986350.99,0.0,1900858.29,0.0,0.0,6739.15,0.0,1581058.8,0.0,0.0,5500.0,69439.8,1895358.29,1574319.65,47.94026668435873,51.70645385223415,46.469874290240824,36974.05,35603.0,2592.0,0.0,3500.0,33474.0,4862.0,33474.0,0.0,0.0,33474.0,0.0,3500.0,0.0,0.0,35603.0,0.0,0.0,0.0,0.0,33474.0,35603.0,90.53376624957232,0.0,49.05545210228302,98.0986016615928,97.89530820968719,98.9802937037385,96.46891768856622,100.0,1870623.39,1620395.6,249006.84,881033.3,986350.99,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,14.60116703,15.977090717754486,D,-6,R,4,1,1,NA,NA,NA,NA,0,45.32914078550149,43.953217097747,1.3759236877544865,41.015093528810425,53.50975387132419,-12.494660342513768,1
AL01_2016,AL,1,AL01,2016,39.6,48.3596907118083,66.5473573952624,28.1918540160589,3.01038917477999,2.87954480368647,47.1905096779108,32.8600783027085,23.2555238924733,23809,18.2599869606449,26942,44747,17805,66.51241987,69.8,59.33,35.985,6.836,10.1210912604593,"3",Bradley Byrne,1,96.38,NA,0,0.0,1367469.77,1172750.28,446318.33,251598.84,0.0,460050.0,31067.77,491117.77,843200.0,0.0,1334317.77,33152.0,0.0,0.0,0.0,1023283.28,0.0,0.0,1100.0,148367.0,1333217.77,1023283.28,35.91434200406493,61.66132652424192,46.16727121731049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,1367469.77,1172750.28,446318.33,491117.77,843200.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,14.60116703,13.323959592779993,D,-8,R,6,1,0,NA,NA,NA,NA,0,45.03020454385814,46.30741198107815,-1.2772074372200066,52.24266879869627,44.76620948716126,7.4764593115350095,1
AL01_2018,AL,1,AL01,2018,39.6,48.3596907118083,66.5473573952624,28.1918540160589,3.01038917477999,2.87954480368647,47.1905096779108,32.8600783027085,23.2555238924733,23809,18.2599869606449,26942,44747,17805,66.51241987,69.8,59.33,35.985,6.836,10.1210912604593,"3",Bradley Byrne,1,NA,Robert Kennedy,0,NA,1001925.17,533325.02,914918.48,446318.33,0.0,196211.59,3970.0,200181.59,742250.0,663.98,943095.57,58737.6,0.0,0.0,92.0,445545.02,0.0,0.0,100.0,87680.0,942995.57,445545.02,19.979694691171396,74.0823788267541,34.73863891852051,133664.39,17053.18,116611.21,0.0,120000.0,4228.44,9435.95,13664.39,0.0,0.0,13664.39,0.0,120000.0,0.0,0.0,17053.18,0.0,0.0,0.0,0.0,13664.39,17053.18,10.222909781730197,0.0,11.314659598081365,88.22951577680936,96.9015524234063,88.69531229876671,93.61017214352124,100.0,868260.78,516271.84,798307.27,186517.2,742250.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,15.22633159,6.973931931825936,R,2,R,8,1,1,NA,NA,NA,NA,0,41.27666806954158,49.52906772771564,-8.252399658174063,43.78464103634852,52.66214948750293,-8.877508451154412,NA
