"CD_Name","cluster"
"AL01",4
"AL02",4
"AL03",4
"AL04",4
"AL05",1
"AL06",1
"AL07",3
"AK01",1
"AZ01",4
"AZ02",5
"AZ03",6
"AZ04",4
"AZ05",1
"AZ06",5
"AZ07",6
"AZ08",1
"AZ09",5
"AR01",4
"AR02",4
"AR03",4
"AR04",4
"CA01",4
"CA02",5
"CA03",6
"CA04",1
"CA05",5
"CA06",6
"CA07",5
"CA08",6
"CA09",6
"CA10",6
"CA11",2
"CA12",2
"CA13",5
"CA14",2
"CA15",2
"CA16",6
"CA17",2
"CA18",2
"CA19",2
"CA20",6
"CA21",6
"CA22",6
"CA23",1
"CA24",5
"CA25",2
"CA26",2
"CA27",5
"CA28",5
"CA29",6
"CA30",5
"CA31",6
"CA32",6
"CA33",2
"CA34",6
"CA35",6
"CA36",6
"CA37",6
"CA38",6
"CA39",5
"CA40",6
"CA41",6
"CA42",1
"CA43",6
"CA44",6
"CA45",2
"CA46",6
"CA47",6
"CA48",2
"CA49",2
"CA50",1
"CA51",6
"CA52",2
"CA53",5
"CO01",5
"CO02",5
"CO03",4
"CO04",1
"CO05",1
"CO06",5
"CO07",1
"CT01",2
"CT02",1
"CT03",1
"CT04",2
"CT05",1
"DE01",1
"FL01",5
"FL02",4
"FL03",4
"FL04",4
"FL05",5
"FL06",3
"FL07",4
"FL08",5
"FL09",4
"FL10",4
"FL11",6
"FL12",4
"FL13",4
"FL14",4
"FL15",3
"FL16",4
"FL17",4
"FL18",4
"FL19",4
"FL20",4
"FL21",3
"FL22",5
"FL23",5
"FL24",5
"FL25",3
"FL26",6
"FL27",6
"GA01",6
"GA02",4
"GA03",3
"GA04",4
"GA05",3
"GA06",3
"GA07",2
"GA08",5
"GA09",4
"GA10",4
"GA11",1
"GA12",5
"GA13",3
"GA14",3
"HI01",4
"HI02",5
"ID01",4
"ID02",4
"IL01",1
"IL02",3
"IL03",3
"IL04",5
"IL05",6
"IL06",2
"IL07",2
"IL08",3
"IL09",5
"IL10",2
"IL11",5
"IL12",5
"IL13",4
"IL14",1
"IL15",1
"IL16",4
"IL17",4
"IL18",4
"IN01",1
"IN02",4
"IN03",4
"IN04",4
"IN05",1
"IN06",5
"IN07",4
"IN08",3
"IN09",4
"IA01",4
"IA02",4
"IA03",1
"IA04",4
"KS01",4
"KS02",4
"KS03",1
"KS04",5
"KY01",4
"KY02",4
"KY03",4
"KY04",1
"KY05",4
"KY06",4
"LA01",4
"LA02",4
"LA03",3
"LA04",4
"LA05",4
"LA06",4
"ME01",4
"ME02",4
"MD01",4
"MD02",1
"MD03",1
"MD04",2
"MD05",2
"MD06",2
"MD07",5
"MD08",3
"MA01",5
"MA02",1
"MA03",1
"MA04",2
"MA05",2
"MA06",2
"MA07",5
"MA08",3
"MA01",5
"MI01",4
"MI02",4
"MI03",4
"MI04",4
"MI05",4
"MI06",4
"MI07",4
"MI08",1
"MI09",5
"MI10",1
"MI11",1
"MI12",5
"MI13",5
"MI14",3
"MN01",3
"MN02",1
"MN03",2
"MN04",5
"MN05",5
"MN06",5
"MN07",1
"MN08",4
"MS01",4
"MS02",4
"MS03",3
"MS04",4
"MO01",4
"MO02",3
"MO03",5
"MO04",4
"MO05",4
"MO06",4
"MO07",4
"MO08",4
"MT01",4
"NE01",4
"NE02",1
"NE03",5
"NV01",4
"NV02",6
"NV03",1
"NV04",5
"NH01",1
"NH02",1
"NJ01",1
"NJ02",1
"NJ03",1
"NJ04",1
"NJ05",2
"NJ06",2
"NJ07",2
"NJ08",2
"NJ09",6
"NJ10",5
"NJ11",3
"NJ12",2
"NM01",5
"NM02",5
"NM03",6
"NY01",1
"NY02",1
"NY03",2
"NY04",2
"NY05",5
"NY06",3
"NY07",5
"NY08",6
"NY09",3
"NY10",3
"NY11",2
"NY12",2
"NY13",5
"NY14",3
"NY15",6
"NY16",3
"NY17",2
"NY18",2
"NY19",5
"NY20",1
"NY21",5
"NY22",4
"NY23",4
"NY24",4
"NY25",4
"NY26",5
"NY27",3
"NC01",4
"NC02",3
"NC03",4
"NC04",4
"NC05",5
"NC06",4
"NC07",4
"NC08",4
"NC09",1
"NC10",4
"NC11",4
"NC12",4
"NC13",5
"ND01",4
"OH01",1
"OH02",1
"OH03",4
"OH04",3
"OH05",4
"OH06",4
"OH07",4
"OH08",4
"OH09",4
"OH10",4
"OH11",4
"OH12",3
"OH13",5
"OH14",4
"OH15",1
"OH16",1
"OK01",4
"OK02",4
"OK03",4
"OK04",4
"OK05",4
"OR01",5
"OR02",5
"OR03",4
"OR04",5
"OR05",4
"PA01r",5
"PA02r",3
"PA03r",3
"PA04r",4
"PA05r",4
"PA06r",1
"PA07r",2
"PA08r",2
"PA09r",1
"PA10r",4
"PA11r",4
"PA12r",4
"PA13r",1
"PA14r",5
"PA15r",3
"PA16r",4
"PA17r",4
"PA18r",4
"RI01",1
"RI02",5
"SC01",4
"SC02",5
"SC03",4
"SC04",4
"SC05",4
"SC06",4
"SC07",3
"SD01",4
"TN01",4
"TN02",4
"TN03",4
"TN04",4
"TN05",4
"TN06",5
"TN07",4
"TN08",4
"TN09",4
"TX01",3
"TX02",1
"TX03",2
"TX04",5
"TX05",4
"TX06",1
"TX07",1
"TX08",2
"TX09",5
"TX10",6
"TX11",5
"TX12",1
"TX13",1
"TX14",1
"TX15",4
"TX16",6
"TX17",6
"TX18",6
"TX19",6
"TX20",6
"TX21",6
"TX22",2
"TX23",5
"TX24",6
"TX25",5
"TX26",1
"TX27",5
"TX28",4
"TX29",6
"TX30",6
"TX31",3
"TX32",1
"TX33",5
"TX34",6
"TX35",6
"TX36",6
"UT01",4
"UT02",4
"UT03",1
"UT04",5
"VT01",5
"VA01",1
"VA02",1
"VA03",5
"VA04",3
"VA05",4
"VA06",4
"VA07",4
"VA08",2
"VA09",5
"VA10",1
"VA11",2
"WA01",2
"WA02",5
"WA03",1
"WA04",1
"WA05",4
"WA06",1
"WA07",1
"WA08",2
"WA09",2
"WA10",5
"WV01",4
"WV02",4
"WV03",4
"WI01",4
"WI02",1
"WI03",5
"WI04",4
"WI05",3
"WI06",1
"WI07",4
"WI08",4
"WY01",4
"FL01r",4
"FL02r",4
"FL03r",4
"FL04r",4
"FL05r",5
"FL06r",3
"FL07r",4
"FL08r",5
"FL09r",4
"FL10r",6
"FL11r",4
"FL12r",4
"FL13r",4
"FL14r",4
"FL15r",3
"FL16r",4
"FL17r",4
"FL18r",4
"FL19r",4
"FL20r",4
"FL21r",3
"FL22r",5
"FL23r",5
"FL24r",5
"FL25r",3
"FL26r",6
"FL27r",6
"NC01r",6
"NC02r",3
"NC03r",4
"NC04r",4
"NC05r",5
"NC06r",4
"NC07r",4
"NC08r",4
"NC09r",1
"NC10r",5
"NC11r",4
"NC12r",4
"NC13r",3
"AL01o",4
"AL02o",4
"AL03o",4
"AL04o",4
"AL05o",1
"AL06o",1
"AL07o",3
"AK01o",1
"AZ01o",4
"AZ02o",1
"AZ03o",1
"AZ04o",6
"AZ05o",5
"AZ06o",1
"AZ07o",6
"AZ08o",5
"AR01o",4
"AR02o",4
"AR03o",4
"AR04o",4
"CA01o",5
"CA02o",4
"CA03o",2
"CA04o",1
"CA05o",6
"CA06o",2
"CA07o",2
"CA08o",2
"CA09o",5
"CA10o",2
"CA11o",2
"CA12o",2
"CA13o",2
"CA14o",2
"CA15o",2
"CA16o",2
