Id,Id2,Geography,State,Congressional District Number,CD_Name,TotalPop,Pop1to4,Pop5to17,Pop18to24,Pop25to35,Pop35to45,Pop45to55,Pop55to65,Pop65to75,Pop75Over,MedianAge,Male,Female,RaceBase,White,Black,Asian,Hispanic,WhiteNoHispanic,Native,ForeignBorn,Naturalized,ForeignBornNotCitizen,MaritalBase,NeverMarried,Married,Divorced,Widowed,EducationBase,LessThanHS,HSGrad,SomeCollORAssoc,Bachelors,GradProf,MedianIncome,PovertyBase,PovertyBelow100Prct,Poverty100to149,Poverty150UP,Pop25UpWEarnings,MedianEarnings_LessHS,MedianEarnings_HS,MedianEarnings_SomeCollAssoc,MedianEarnings_Bach,MedianEarnings_GradProf,Urbanicity,VeteranBase,Veterans,LFPR
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",AL,1,AL01,691394,35152,120173,63033,88474,85163,94663,92687,66203,45846,39.6,334356,357038,679746,466352,191633,9626,20463,452353,671485,19909,9095,10814,564533,169148,266406,87312,41667,473036,64061,155440,143528,72713,37294,23809,674880,123233,71258,480389,31826,17741,26942,30287,44747,52908,66.51241987,535051,54153,69.8
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",AL,2,AL02,675067,33952,115520,65176,91061,86365,90425,86588,61494,44486,38.7,328672,346395,662657,437151,208198,7365,23388,422504,655964,19103,7279,11824,552482,169175,258667,84252,40388,460419,74623,148058,137373,62886,37479,22951,654871,125069,72125,457677,31436,19810,25595,31024,43956,54373,52.98907743,519658,59017,69.9
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",AL,3,AL03,692979,33378,115138,79494,89133,87526,93719,89781,62754,42056,38.5,338006,354973,681547,485861,176024,10899,19918,474516,673072,19907,6900,13007,571794,169749,277049,85733,39263,464969,78246,147821,140482,58858,39562,22398,672112,130793,73733,467586,32117,20465,27081,31721,44018,54529,49.16401198,541600,53241,69
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",AL,4,AL04,676434,33573,115504,57409,81569,85710,93868,91695,69361,47745,41,331448,344986,664275,596184,47139,4300,41288,568380,650832,25602,6714,18888,554777,132005,294659,83548,44565,469948,93232,159606,140513,47547,29050,21456,667940,123512,86008,458420,30451,20480,26277,30923,43936,51807,34.05178357,527135,44186,67.5
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",AL,5,AL05,697055,32720,117446,65885,91272,88233,103979,91649,61463,44408,39.8,340722,356333,679352,535051,120277,11293,33712,511059,665456,31599,13354,18245,575422,162175,293819,81472,37956,481004,63743,130997,139585,92907,53772,26479,680578,101076,64268,515234,35628,19747,26485,31668,52490,70788,65.61191174,545650,57936,73.4
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",AL,6,AL06,686629,34952,121249,54716,92657,95091,96500,89780,59223,42461,39.3,333012,353617,676535,546990,100700,11631,33258,529525,654595,32034,10827,21207,558740,145026,305203,72855,35656,475712,50294,120576,137169,103214,64459,30808,673952,73635,54878,545439,41121,21592,30771,36271,52908,61620,68.93445445,529980,43762,75.1
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",AL,7,AL07,666318,33756,107388,88854,92398,78128,83485,87415,54012,40882,36.3,312784,353534,659301,223084,421818,4933,17559,214314,649067,17251,4672,12579,550958,234545,185220,90109,41084,436320,71837,147095,134053,54257,29078,18710,641660,174081,83366,384213,27592,17146,23702,26998,41145,50376,71.48631189,524751,39166,66
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",AK,1,AK01,726403,43980,133184,78540,115775,92056,99414,94149,46577,22728,34.2,380072,346331,665753,477636,24160,43643,47976,451286,671157,55246,31138,24108,579321,200106,279903,77784,21528,470699,36032,130511,168631,86551,48974,31944,708766,71144,53884,583738,43654,25883,34234,41869,53316,72457,59.61194526,532857,68145,78
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",AZ,1,AZ01,727002,38862,133448,79909,90339,85051,86082,92434,74363,46514,37.4,365958,361044,703114,473507,16922,11690,156509,361208,681392,45610,19423,26187,585913,205521,272059,76754,31579,474783,69234,126557,166753,67879,44360,23676,695771,149170,80294,466307,32436,20303,26812,31770,43891,52538,59.82151129,554180,54588,65.5
5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",AZ,2,AZ02,712369,32766,107810,73907,91894,80876,87726,94863,79319,63208,41.1,351883,360486,682382,578747,29528,20648,195113,443002,632027,80342,40388,39954,597140,184374,280375,92988,39403,497886,47880,105203,180381,94538,69884,25681,689830,112885,68255,508690,32331,16971,25076,31142,44464,54339,89.19073172,563411,75893,72.9
5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",AZ,3,AZ03,728898,44557,150899,99276,103281,91984,86959,74430,46377,31135,31.7,364637,364261,705833,520849,34118,12883,449921,202229,572306,156592,65674,90918,568456,216576,248315,77335,26230,434166,107517,120045,138586,44836,23182,21247,702394,164814,103799,433781,28806,18062,26440,31548,40447,50588,87.66159283,531413,38529,71.2
5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",AZ,4,AZ04,731652,30496,110298,52428,76558,77008,86856,108011,112102,77895,47.4,370672,360980,713481,645199,13191,8829,133805,550613,669411,62241,25697,36544,616068,142603,331585,95981,45899,538430,71481,163312,203314,63787,36536,23581,703188,108583,74945,519660,30451,20090,26071,31024,40611,50857,70.86447483,587984,85868,65.3
