State,StateAbbr,District,Name,Party,115th Congress,FEC ID
Alabama,AL,1,Bradley Byrne,Republican,Yes,H4AL01123
Alabama,AL,1,Robert Kennedy,Democratic,,H8AL01066
Alabama,AL,2,Tabitha Isner,Democratic,,H8AL02197
Alabama,AL,2,Martha Roby,Republican,Yes,H0AL02087
Alabama,AL,3,Mallory Hagan,Democratic,,H8AL03054
Alabama,AL,3,Mike D. Rogers,Republican,Yes,H2AL03032
Alabama,AL,4,Lee Auman,Democratic,,H8AL04094
Alabama,AL,4,Robert Aderholt,Republican,Yes,H6AL04098
Alabama,AL,5,Mo Brooks,Republican,Yes,H0AL05163
Alabama,AL,5,Peter Joffrion,Democratic,,H8AL05190
Alabama,AL,6,Gary Palmer,Republican,Yes,H4AL06098
Alabama,AL,6,Danner Kline,Democratic,,H8AL06099
Alabama,AL,7,Terri Sewell,Democratic,Yes,H0AL07086
Alaska,AK,1,Don Young,Republican,Yes,H6AK00045
Alaska,AK,1,Alyse Galvin,Democratic,,H8AK00140
Arizona,AZ,1,Tom O'Halleran,Democratic,Yes,H6AZ01199
Arizona,AZ,1,Wendy Rogers,Republican,,H2AZ09035
Arizona,AZ,2,Ann Kirkpatrick,Democratic,,H8AZ02151
Arizona,AZ,2,Lea Marquez Peterson,Republican,,H8AZ02185
Arizona,AZ,3,Nick Pierson,Republican,,H8AZ03159
Arizona,AZ,3,Raul Grijalva,Democratic,Yes,H2AZ07070
Arizona,AZ,4,David Brill,Democratic,,H8AZ04140
Arizona,AZ,4,Paul Gosar,Republican,Yes,H0AZ01259
Arizona,AZ,5,Andy Biggs,Republican,Yes,H6AZ05083
Arizona,AZ,5,Joan Greene,Democratic,,H8AZ05154
Arizona,AZ,6,David Schweikert,Republican,Yes,H4AZ06045
Arizona,AZ,6,Anita Malik,Democratic,,H8AZ06103
Arizona,AZ,7,Ruben Gallego,Democratic,Yes,H4AZ07043
Arizona,AZ,8,Hiral Tipirneni,Democratic,,H8AZ08083
Arizona,AZ,8,Debbie Lesko,Republican,Yes,H8AZ08158
Arizona,AZ,9,Greg Stanton,Democratic,,H8AZ09040
Arizona,AZ,9,Steve Ferrara,Republican,,H8AZ09024
Arkansas,AR,1,Chintan Desai,Democratic,,H8AR01029
Arkansas,AR,1,Rick Crawford,Republican,Yes,H0AR01083
Arkansas,AR,2,French Hill,Republican,Yes,H4AR02141
Arkansas,AR,2,Clarke Tucker,Democratic,,H8AR02159
Arkansas,AR,3,Josh Mahony,Democratic,,H8AR03074
Arkansas,AR,3,Steve Womack,Republican,Yes,H0AR03055
Arkansas,AR,4,Bruce Westerman,Republican,Yes,H4AR04048
Arkansas,AR,4,Hayden Shamel,Democratic,,H8AR04130
California,CA,1,Doug LaMalfa,Republican,Yes,H2CA02142
California,CA,1,Audrey Denney,Democratic,,H8CA01257
California,CA,2,Jared Huffman,Democratic,Yes,H2CA06259
California,CA,2,Dale Mensing,Republican,,H4CA02098
California,CA,3,John Garamendi,Democratic,Yes,H0CA10149
California,CA,3,Charlie Schaupp,Republican,,H6CA03067
California,CA,4,Tom McClintock,Republican,Yes,H8CA04152
California,CA,4,Jessica Morse,Democratic,,H8CA04210
California,CA,5,Mike Thompson,Democratic,Yes,H8CA01109
California,CA,6,Doris Matsui,Democratic,Yes,H6CA05195
California,CA,7,Ami Bera,Democratic,Yes,H0CA03078
California,CA,7,Andrew Grant,Republican,,H8CA07056
California,CA,8,Paul Cook,Republican,Yes,H2CA08164
California,CA,9,Jerry McNerney,Democratic,Yes,H4CA11081
California,CA,9,Marla Livengood,Republican,,H8CA09144
California,CA,10,Jeff Denham,Republican,Yes,H0CA19173
California,CA,10,Josh Harder,Democratic,,H8CA10126
California,CA,11,Mark DeSaulnier,Democratic,Yes,H0CA10073
