GEO.id,GEO.id2,GEO.display-label,,,,,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC13,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC24,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC41,HC01_EST_VC42,HC01_EST_VC43,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC50,HC01_EST_VC51,HC01_EST_VC64,HC01_EST_VC67,HC01_EST_VC68,HC01_EST_VC69,HC01_EST_VC70
Id,Id2,Geography,borough,County,State,Congressional District,TotalPop,Pop1to4,Pop5to17,Pop18to24,Pop25to35,Pop35to45,Pop45to55,Pop55to65,Pop65to75,Pop75Over,MedianAge,Male,Female,RaceBase,White,Black,Asian,Hispanic,WhiteNoHispanic,Native,ForeignBorn,Naturalized,ForeignBornNotCitizen,MaritalBase,NeverMarried,Married,Divorced,Widowed,EducationBase,LessThanHS,HSGrad,SomeCollORAssoc,Bachelors,GradProf,MedianIncome,PovertyBase,PovertyBelow100Prct,Poverty100to149,Poverty150UP
0600000US4200100116,4200100116,"Abbottstown borough, Adams County, Pennsylvania",Abbottstown borough, Adams County, Pennsylvania,13,913,53,150,59,176,92,133,142,67,41,36.4,455,458,911,874,0,18,86,809,860,53,9,44,745,186,423,107,29,651,142,287,158,40,24,24828,906,83,72,751
0600000US4200102928,4200102928,"Arendtsville borough, Adams County, Pennsylvania",Arendtsville borough, Adams County, Pennsylvania,13,958,50,232,91,122,127,123,118,65,30,33.8,466,492,947,675,11,0,282,652,843,115,15,100,725,199,384,92,50,585,97,225,155,54,54,30139,958,179,72,707
0600000US4200105536,4200105536,"Bendersville borough, Adams County, Pennsylvania",Bendersville borough, Adams County, Pennsylvania,13,703,49,153,63,89,104,81,49,59,56,33.9,340,363,694,516,38,0,152,506,642,61,8,53,536,169,281,52,34,438,69,217,77,63,12,26743,682,116,61,505
0600000US4200105880,4200105880,"Berwick township, Adams County, Pennsylvania",Berwick township, Adams County, Pennsylvania,13,2114,42,293,180,205,222,360,354,249,209,48.8,1052,1062,2078,1953,26,4,136,1919,2022,92,25,67,1857,459,1110,156,132,1599,328,723,307,124,117,27621,2114,225,135,1754
0600000US4200106296,4200106296,"Biglerville borough, Adams County, Pennsylvania",Biglerville borough, Adams County, Pennsylvania,13,1193,103,183,141,155,138,172,142,95,64,36.8,581,612,1155,986,8,8,283,899,1022,171,24,147,936,321,443,130,42,766,109,296,201,105,55,25542,1172,146,104,922
0600000US4200107560,4200107560,"Bonneauville borough, Adams County, Pennsylvania",Bonneauville borough, Adams County, Pennsylvania,13,1738,170,269,109,273,217,256,207,126,111,38.2,768,970,1663,1616,21,14,53,1616,1714,24,6,18,1364,375,719,207,63,1190,131,532,337,118,72,28426,1719,194,162,1363
0600000US4200110456,4200110456,"Butler township, Adams County, Pennsylvania",Butler township, Adams County, Pennsylvania,13,2565,67,339,247,204,248,485,467,336,172,49.2,1330,1235,2565,2335,8,0,338,2219,2369,196,24,172,2234,555,1306,270,103,1912,345,802,383,234,148,26569,2560,295,95,2170
0600000US4200111472,4200111472,"Carroll Valley borough, Adams County, Pennsylvania",Carroll Valley borough, Adams County, Pennsylvania,13,3899,161,747,336,425,654,590,429,303,254,39.3,1951,1948,3800,3758,0,13,244,3606,3827,72,56,16,3137,785,1979,163,210,2655,57,737,924,588,349,40531,3890,42,65,3783
0600000US4200115632,4200115632,"Conewago township, Adams County, Pennsylvania",Conewago township, Adams County, Pennsylvania,13,7113,196,1204,372,721,955,1243,1093,845,484,45.6,3664,3449,6953,6709,49,74,211,6619,6916,197,130,67,6034,1482,3655,531,366,5341,560,2370,1320,660,431,28145,7092,422,538,6132
0600000US4200117640,4200117640,"Cumberland township, Adams County, Pennsylvania",Cumberland township, Adams County, Pennsylvania,13,6167,191,870,461,486,551,833,964,1022,789,51.9,3003,3164,6048,5526,204,52,394,5430,5689,478,269,209,5348,1198,3010,671,469,4645,515,1611,1098,676,745,29240,5898,666,365,4867
