CD_Name,Year,Lookup,PVI
AK01o,2006,AK01o_2006,14.73096017
AL01o,2006,AL01o_2006,12.4577313
AL02o,2006,AL02o_2006,13.83517691
AL03o,2006,AL03o_2006,5.069124424
AL04o,2006,AL04o_2006,16.51864501
AL05o,2006,AL05o_2006,7.381589173
AL06o,2006,AL06o_2006,25.89547842
AL07o,2006,AL07o_2006,-16.14299679
AR01o,2006,AR01o_2006,0.274990188
AR02o,2006,AR02o_2006,0.533977032
AR03o,2006,AR03o_2006,12.07767143
AR04o,2006,AR04o_2006,0.02377295
AZ01o,2006,AZ01o_2006,2.813061254
AZ02o,2006,AZ02o_2006,9.412046026
AZ03o,2006,AZ03o_2006,6.87397496
AZ04o,2006,AZ04o_2006,-13.61774426
AZ05o,2006,AZ05o_2006,4.615609685
AZ06o,2006,AZ06o_2006,12.96534552
AZ07o,2006,AZ07o_2006,-9.159900519
AZ08o,2006,AZ08o_2006,2.334081689
CA01o,2006,CA01o_2006,-9.745690391
CA02o,2006,CA02o_2006,13.24413882
CA03o,2006,CA03o_2006,7.462286817
CA04o,2006,CA04o_2006,11.68973467
CA05o,2006,CA05o_2006,-12.85756515
CA06o,2006,CA06o_2006,-19.96011534
CA07o,2006,CA07o_2006,-18.34357399
CA08o,2006,CA08o_2006,-35.30318506
CA09o,2006,CA09o_2006,-36.87386569
CA10o,2006,CA10o_2006,-8.947969593
CA11o,2006,CA11o_2006,3.828289681
CA12o,2006,CA12o_2006,-21.76848241
CA13o,2006,CA13o_2006,-20.8945944
CA14o,2006,CA14o_2006,-17.49674041
CA15o,2006,CA15o_2006,-13.56335421
CA16o,2006,CA16o_2006,-15.2823495
CA17o,2006,CA17o_2006,-16.11143113
CA18o,2006,CA18o_2006,-2.527247458
CA19o,2006,CA19o_2006,10.22785458
CA20o,2006,CA20o_2006,-4.021784667
CA21o,2006,CA21o_2006,13.47295973
CA22o,2006,CA22o_2006,16.86050764
CA23o,2006,CA23o_2006,-8.819764465
CA24o,2006,CA24o_2006,5.636017848
CA25o,2006,CA25o_2006,7.889203386
CA26o,2006,CA26o_2006,4.615609685
CA27o,2006,CA27o_2006,-11.82663732
CA28o,2006,CA28o_2006,-23.95581889
CA29o,2006,CA29o_2006,-11.82663732
CA30o,2006,CA30o_2006,-19.20437985
CA31o,2006,CA31o_2006,-29.46079011
CA32o,2006,CA32o_2006,-15.96866463
CA33o,2006,CA33o_2006,-35.18030868
CA34o,2006,CA34o_2006,-22.06003519
CA35o,2006,CA35o_2006,-31.79956244
CA36o,2006,CA36o_2006,-9.973610619
CA37o,2006,CA37o_2006,-26.62856311
CA38o,2006,CA38o_2006,-19.01434991
CA39o,2006,CA39o_2006,-11.90775093
CA40o,2006,CA40o_2006,8.697242338
CA41o,2006,CA41o_2006,9.717650501
CA42o,2006,CA42o_2006,10.93488867
CA43o,2006,CA43o_2006,-12.41536514
CA44o,2006,CA44o_2006,6.656426011
CA45o,2006,CA45o_2006,3.828289681
CA46o,2006,CA46o_2006,6.656426011
CA47o,2006,CA47o_2006,-3.785923517
CA48o,2006,CA48o_2006,8.697242338
CA49o,2006,CA49o_2006,11.44250288
CA50o,2006,CA50o_2006,5.125813766
CA51o,2006,CA51o_2006,-6.323994583
CA52o,2006,CA52o_2006,9.717650501
CA53o,2006,CA53o_2006,-11.51207216
CO01o,2006,CO01o_2006,-17.32580937
CO02o,2006,CO02o_2006,-7.187462059
CO03o,2006,CO03o_2006,6.284402202
CO04o,2006,CO04o_2006,9.099061096
CO05o,2006,CO05o_2006,16.35294711
CO06o,2006,CO06o_2006,10.73805866
CO07o,2006,CO07o_2006,-1.496532142
CT01o,2006,CT01o_2006,-13.37302907
CT02o,2006,CT02o_2006,-6.736431132
CT03o,2006,CT03o_2006,-10.9030978
CT04o,2006,CT04o_2006,-4.610142472
CT05o,2006,CT05o_2006,-2.818037349
DE01o,2006,DE01o_2006,-5.588471948
FL01o,2006,FL01o_2006,20.01356887
FL02o,2006,FL02o_2006,3.013568868
FL03o,2006,FL03o_2006,-15.48643113
FL04o,2006,FL04o_2006,17.01356887
FL05o,2006,FL05o_2006,5.794975904
FL06o,2006,FL06o_2006,9.013568868
FL07o,2006,FL07o_2006,5.013568868
FL08o,2006,FL08o_2006,4.013568868
FL09o,2006,FL09o_2006,5.013568868
FL10o,2006,FL10o_2006,-0.486431132
FL11o,2006,FL11o_2006,-10.28542611
FL12o,2006,FL12o_2006,6.013568868
FL13o,2006,FL13o_2006,4.737449465
FL14o,2006,FL14o_2006,11.01356887
FL15o,2006,FL15o_2006,5.013568868
FL16o,2006,FL16o_2006,3.013568868
FL17o,2006,FL17o_2006,-34.48643113
FL18o,2006,FL18o_2006,5.013568868
FL19o,2006,FL19o_2006,-19.98643113
FL20o,2006,FL20o_2006,-16.98643113
FL21o,2006,FL21o_2006,7.013568868
FL22o,2006,FL22o_2006,-2.486431132
FL23o,2006,FL23o_2006,-28.48643113
FL24o,2006,FL24o_2006,3.513568868
FL25o,2006,FL25o_2006,5.013568868
GA01o,2006,GA01o_2006,13.51356887
GA02o,2006,GA02o_2006,-1.486431132
GA03o,2006,GA03o_2006,18.35778997
GA04o,2006,GA04o_2006,-21.34070249
GA05o,2006,GA05o_2006,-23.98643113
GA06o,2006,GA06o_2006,18.86030254
GA07o,2006,GA07o_2006,19.01356887
GA08o,2006,GA08o_2006,9.013568868
GA09o,2006,GA09o_2006,23.51356887
GA10o,2006,GA10o_2006,13.51356887
GA11o,2006,GA11o_2006,17.67277285
GA12o,2006,GA12o_2006,-1.240199976
GA13o,2006,GA13o_2006,-8.986431132
HI01o,2006,HI01o_2006,-6.156534224
HI02o,2006,HI02o_2006,-8.819764465
IA01o,2006,IA01o_2006,-4.057859703
IA02o,2006,IA02o_2006,-5.871046516
IA03o,2006,IA03o_2006,-0.740238238
IA04o,2006,IA04o_2006,0.533977032
IA05o,2006,IA05o_2006,9.207446419
ID01o,2006,ID01o_2006,19.76997912
ID02o,2006,ID02o_2006,19.61666165
IL01o,2006,IL01o_2006,-33.98643113
IL02o,2006,IL02o_2006,-33.98643113
IL03o,2006,IL03o_2006,-9.577340223
IL04o,2006,IL04o_2006,-29.88341606
IL05o,2006,IL05o_2006,-16.98643113
IL06o,2006,IL06o_2006,3.320675467
IL07o,2006,IL07o_2006,-33.90351656
IL08o,2006,IL08o_2006,6.079225434
IL09o,2006,IL09o_2006,-18.66824931
IL10o,2006,IL10o_2006,-3.011683657
IL11o,2006,IL11o_2006,1.797832828
IL12o,2006,IL12o_2006,-4.293537731
IL13o,2006,IL13o_2006,5.35113232
IL14o,2006,IL14o_2006,5.125813766
IL15o,2006,IL15o_2006,6.87397496
IL16o,2006,IL16o_2006,5.125813766
IL17o,2006,IL17o_2006,-3.785923517
IL18o,2006,IL18o_2006,6.079225434
IL19o,2006,IL19o_2006,8.904431813
IN01o,2006,IN01o_2006,-6.831608797
IN02o,2006,IN02o_2006,4.843518107
IN03o,2006,IN03o_2006,17.19033655
IN04o,2006,IN04o_2006,18.04148765
IN05o,2006,IN05o_2006,20.22063958
IN06o,2006,IN06o_2006,11.63478099
IN07o,2006,IN07o_2006,-7.772863292
IN08o,2006,IN08o_2006,9.312563843
IN09o,2006,IN09o_2006,7.889203386
KS01o,2006,KS01o_2006,21.1630534
KS02o,2006,KS02o_2006,8.062791666
KS03o,2006,KS03o_2006,5.183671961
KS04o,2006,KS04o_2006,12.91563072
KY01o,2006,KY01o_2006,10.93488867
KY02o,2006,KY02o_2006,13.65498301
KY03o,2006,KY03o_2006,-1.496532142
KY04o,2006,KY04o_2006,12.4577313
KY05o,2006,KY05o_2006,8.81005128
