GEO.id,GEO.id2,GEO.display-label,Population,Veteran,Nonveteran,Male,Male18to34,Male35to54,Male55to64,Male65to74,Male75Plus,Female,Female18to34,Female35to54,Female55to64,Female65to74,Female75Plus
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",535051,54153,480898,254284,74294,86637,43998,30633,18722,280767,76753,92631,48689,35570,27124
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",519658,59017,460641,246618,75465,83943,41366,28570,17274,273040,77053,90660,45191,32924,27212
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",541600,53241,488359,259220,82557,87786,43058,29225,16594,282380,84325,92397,46667,33529,25462
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",527135,44186,482949,254624,70193,88827,44384,32232,18988,272511,68696,90618,47311,37129,28757
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",545650,57936,487714,263418,78788,94142,44472,28220,17796,282232,77705,97507,47165,33243,26612
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",529980,43762,486218,253586,73010,94088,43015,27109,16364,276394,74175,97245,46763,32114,26097
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",524751,39166,485585,240439,86845,75077,39812,24336,14369,284312,94130,86390,47603,29676,26513
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",532857,68145,464712,274301,94059,97182,48866,23996,10198,258556,86916,91282,45247,22581,12530
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",554180,54588,499592,277892,88334,88206,43710,35919,21723,276288,81658,82699,48696,38444,24791
5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",563411,75893,487518,273086,81559,82760,44276,37258,27233,290325,77775,83927,50587,42061,35975
5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",531413,38529,492884,263119,103738,88542,35726,21736,13377,268294,97358,89833,38704,24641,17758
5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",587984,85868,502116,295684,68377,83252,51045,54604,38406,292300,58087,80278,56948,57498,39489
5001500US0405,405,"Congressional District 5 (115th Congress), Arizona",562083,55211,506872,271589,75200,101700,39474,31847,23368,290494,75387,104055,44304,36029,30719
5001500US0406,406,"Congressional District 6 (115th Congress), Arizona",596609,49717,546892,290090,81180,102008,48508,35402,22992,306519,76666,105299,54465,41116,28973
5001500US0407,407,"Congressional District 7 (115th Congress), Arizona",527260,25678,501582,263006,108621,97480,32891,15816,8198,264254,104461,98166,31722,18063,11842
5001500US0408,408,"Congressional District 8 (115th Congress), Arizona",576695,70393,506302,270373,68604,91455,41798,38212,30304,306322,73881,97610,49809,45894,39128
5001500US0409,409,"Congressional District 9 (115th Congress), Arizona",591958,41460,550498,297926,123192,99334,39770,21736,13894,294032,110670,95262,42395,24580,21125
5001500US0501,501,"Congressional District 1 (115th Congress), Arkansas",553707,53319,500388,270657,78199,91928,45180,33583,21767,283050,73917,91181,48606,37936,31410
5001500US0502,502,"Congressional District 2 (115th Congress), Arkansas",573794,56425,517369,272692,88387,93448,43866,29151,17840,301102,92213,99166,48753,33983,26987
5001500US0503,503,"Congressional District 3 (115th Congress), Arkansas",578395,51016,527379,282882,96097,98208,41881,28757,17939,295513,94449,97272,45435,32762,25595
5001500US0504,504,"Congressional District 4 (115th Congress), Arkansas",550897,53189,497708,265064,73633,87752,47065,34613,22001,285833,72791,92826,49553,38626,32037
5001500US0601,601,"Congressional District 1 (115th Congress), California",562030,59151,502879,280446,82586,82343,51435,39023,25059,281584,72013,80341,55245,40896,33089
5001500US0602,602,"Congressional District 2 (115th Congress), California",568621,44326,524295,280156,72252,95056,53437,37455,21956,288465,65161,94268,57928,41222,29886
5001500US0603,603,"Congressional District 3 (115th Congress), California",541902,50353,491549,266362,93078,89061,41994,25829,16400,275540,90930,88866,43850,29183,22711
5001500US0604,604,"Congressional District 4 (115th Congress), California",564781,58402,506379,278294,67083,94138,52652,39385,25036,286487,61582,94655,56626,42386,31238
5001500US0605,605,"Congressional District 5 (115th Congress), California",571172,42400,528772,274677,83516,93523,47747,31573,18318,296495,81661,96263,54283,35226,29062
5001500US0606,606,"Congressional District 6 (115th Congress), California",551640,35922,515718,264688,99816,90246,38020,22153,14453,286952,101492,94118,43379,26400,21563
5001500US0607,607,"Congressional District 7 (115th Congress), California",556919,47799,509120,268354,81621,98744,43911,25757,18321,288565,79037,102403,48343,31672,27110
5001500US0608,608,"Congressional District 8 (115th Congress), California",507069,47448,459621,246827,78749,84385,40992,26385,16316,260242,81444,87585,43578,27513,20122
5001500US0609,609,"Congressional District 9 (115th Congress), California",534925,33727,501198,260921,87835,93430,40485,24083,15088,274004,84318,97685,42116,28232,21653
5001500US0610,610,"Congressional District 10 (115th Congress), California",528640,33196,495444,259608,87995,95273,38732,22985,14623,269032,84880,95615,41059,26293,21185
5001500US0611,611,"Congressional District 11 (115th Congress), California",571089,33828,537261,274433,79740,99116,46324,29042,20211,296656,78071,103695,50959,34435,29496
5001500US0612,612,"Congressional District 12 (115th Congress), California",643230,22615,620615,329754,116142,121175,45409,26576,20452,313476,112670,101216,41366,28850,29374
5001500US0613,613,"Congressional District 13 (115th Congress), California",597060,25981,571079,286390,102202,101197,41165,25933,15893,310670,106094,104075,46504,29980,24017
5001500US0614,614,"Congressional District 14 (115th Congress), California",590336,25687,564649,287887,87534,107221,46105,27301,19726,302449,82680,107522,50476,32897,28874
5001500US0615,615,"Congressional District 15 (115th Congress), California",569511,27843,541668,276760,81979,111196,44513,24130,14942,292751,80818,114010,47122,28761,22040
5001500US0616,616,"Congressional District 16 (115th Congress), California",499353,25055,474298,246327,97624,84292,32707,19471,12233,253026,93708,86075,34538,21846,16859
5001500US0617,617,"Congressional District 17 (115th Congress), California",582820,20097,562723,294068,97999,117115,40508,22469,15977,288752,91001,109419,40436,25321,22575
