State,CD,Name,Member,Party,Dem08,GOP08,Dem04,GOP04,Dem00,GOP00,Dem,GOP,PVI06,Dem,GOP,PVI0810,,,,,
AK,1,AK01o,"Young, Don",(R),38,59,36,61,28,59,35%,65%,14.73,38%,62%,13.07,,Dem04,48.3,GOP04,50.7
AL,1,AL01o,Bonner,(R),39,61,35,64,38,60,37%,63%,12.46,37%,63%,14.03,,Dem00,48.4,GOP00,47.9
AL,2,AL02o,Roby,(R),36,63,33,67,38,61,36%,64%,13.84,35%,65%,16.54,,Dem,50%,GOP,50%
AL,3,AL03o,"Rogers, Mike D.",(R),43,56,41,58,47,52,44%,56%,5.07,42%,58%,8.79,,,,,
AL,4,AL04o,Aderholt,(R),23,76,28,71,37,61,33%,67%,16.52,26%,74%,25.46,,Dem04,48.3,GOP04,50.7
AL,5,AL05o,Brooks,(R),38,61,39,60,44,54,42%,58%,7.38,39%,61%,12.33,,Dem08,52.9,GOP08,45.7
AL,6,AL06o,Bachus,(R),23,76,22,78,25,74,24%,76%,25.90,23%,77%,28.60,,Dem,51%,GOP,49%
AL,7,AL07o,Sewell,(D),72,27,64,35,66,33,66%,34%,16.14,69%,31%,17.47,,,,,
AR,1,AR01o,Crawford,(R),38,59,47,52,50,48,49%,51%,0.27,43%,57%,7.85,,,,,
AR,2,AR02o,Griffin,(R),44,54,48,51,48,49,49%,51%,0.53,47%,53%,4.51,,,,,
AR,3,AR03o,Womack,(R),34,64,36,62,37,60,37%,63%,12.08,36%,64%,15.50,,,,,
AR,4,AR04o,"Ross, Mike",(D),39,58,48,51,49,48,49%,51%,0.02,44%,56%,6.83,,,,,
AZ,1,AZ01o,Gosar,(R),44,54,46,54,46,51,47%,53%,2.81,45%,55%,5.76,,,,,
AZ,2,AZ02o,Franks,(R),38,61,38,61,41,57,40%,60%,9.41,38%,62%,12.83,,,,,
AZ,3,AZ03o,Quayle,(R),42,57,41,58,43,55,43%,57%,6.87,42%,58%,9.30,,,,,
AZ,4,AZ04o,Pastor,(D),66,33,62,38,63,35,63%,37%,13.62,64%,36%,13.11,,,,,
AZ,5,AZ05o,Schweikert,(R),47,52,45,54,43,54,45%,55%,4.62,46%,54%,4.75,,,,,
AZ,6,AZ06o,Flake,(R),38,61,35,64,37,61,37%,63%,12.97,37%,63%,14.35,,,,,
AZ,7,AZ07o,Grijalva,(D),57,42,57,43,58,38,59%,41%,9.16,57%,43%,6.07,,,,,
AZ,8,AZ08o,Giffords,(D),46,52,46,53,46,50,47%,53%,2.33,47%,53%,4.51,,,,,
CA,1,CA01o,"Thompson, Mike",(D),66,32,60,38,52,39,59%,41%,9.75,64%,36%,13.07,,,,,
CA,2,CA02o,Herger,(R),43,55,37,62,33,61,36%,64%,13.24,41%,59%,10.61,,,,,
CA,3,CA03o,Lungren,(R),49,49,41,58,41,55,42%,58%,7.46,46%,54%,5.53,,,,,
CA,4,CA04o,McClintock,(R),44,54,37,61,36,59,38%,62%,11.69,41%,59%,9.89,,,,,
CA,5,CA05o,Matsui,(D),70,28,61,38,60,35,62%,38%,12.86,66%,34%,15.28,,,,,
CA,6,CA06o,Woolsey,(D),76,22,70,28,62,30,69%,31%,19.96,74%,26%,23.28,,,,,
CA,7,CA07o,"Miller, George",(D),72,27,67,32,66,31,68%,32%,18.34,70%,30%,18.99,,,,,
CA,8,CA08o,Pelosi,(D),85,12,85,14,77,15,85%,15%,35.30,87%,13%,35.52,,,,,
CA,9,CA09o,Lee,(D),88,10,86,13,79,13,86%,14%,36.87,88%,12%,37.11,,,,,
CA,10,CA10o,Garamendi,(D),65,33,59,40,55,41,58%,42%,8.95,63%,37%,11.73,,,,,
CA,11,CA11o,McNerney,(D),54,44,45,54,45,53,46%,54%,3.83,50%,50%,0.96,,,,,
CA,12,CA12o,Speier,(D),74,24,72,27,67,29,71%,29%,21.77,74%,26%,22.90,,,,,
CA,13,CA13o,Stark,(D),74,24,71,28,67,30,70%,30%,20.89,74%,26%,22.39,,,,,
CA,14,CA14o,Eshoo,(D),73,25,68,30,62,34,67%,33%,17.50,72%,28%,20.72,,,,,
CA,15,CA15o,Honda,(D),68,30,63,36,60,36,63%,37%,13.56,66%,34%,15.28,,,,,
CA,16,CA16o,Lofgren,(D),70,29,63,36,64,33,65%,35%,15.28,67%,33%,15.96,,,,,
CA,17,CA17o,Farr,(D),72,26,66,33,60,33,66%,34%,16.11,70%,30%,18.84,,,,,
CA,18,CA18o,Cardoza,(D),59,39,49,50,53,44,52%,48%,2.53,55%,45%,3.61,,,,,
