St,CD,CD_Name,Obama12,Romney12,Obama08,McCain08,Kerry04,Bush04,Dem,GOP,PVI,,,,,,,
AK,1,AK01,41.2,55.3,37.9,59.4,37,63,38%,62%,13.25,,,,Dem08,52.9,GOP08,45.7
AL,1,AL01,37.4,61.8,38.4,61,35,65,37%,63%,14.4,,,,Dem04,48.3,GOP04,50.7
AL,2,AL02,36.6,62.7,35.1,64.4,31,69,33%,67%,18.08,,,,Dem,51%,GOP,49%
AL,3,AL03,36.8,62.2,36.6,62.6,36,64,36%,64%,14.77,,,,,,,
AL,4,AL04,24,74.8,25.5,73.3,31,69,28%,72%,22.79,,,,,,,
AL,5,AL05,34.9,63.9,36.3,62.6,38,62,37%,63%,13.86,,,,,,,
AL,6,AL06,24.7,74.3,25,74.2,22,78,24%,76%,27.62,,,,,,,
AL,7,AL07,72.4,27.1,71.7,27.9,65,35,68%,32%,17.27,,,,,,,
AR,1,AR01,36.3,61,39.2,58,48,52,44%,56%,7,,,,,,,
AR,2,AR02,42.9,54.7,44.3,53.8,48,52,47%,53%,4.62,,,,,,,
AR,3,AR03,31.6,65.5,33.9,63.9,37,63,36%,64%,15.37,,,,,,,
AR,4,AR04,35.9,61.8,37.4,60,46,54,42%,58%,8.97,,,,,,,
AZ,1,AZ01,47.9,50.4,47.9,51,49,51,49%,51%,2.5,,,,,,,
AZ,2,AZ02,48.4,49.9,48.9,49.8,50,50,50%,50%,1.44,,,,,,,
AZ,3,AZ03,61.4,36.9,57.4,41.4,57,43,58%,42%,6.33,,,,,,,
AZ,4,AZ04,31,67.2,34.5,64.1,36,64,35%,65%,15.72,,,,,,,
AZ,5,AZ05,34.6,63.8,36.2,62.7,34,66,35%,65%,15.92,,,,,,,
AZ,6,AZ06,38.8,59.5,41.2,57.7,40,60,41%,59%,10.39,,,,,,,
AZ,7,AZ07,71.7,26.5,64.7,34.1,61,39,63%,37%,12.01,,,,,,,
AZ,8,AZ08,36.9,61.7,38.4,60.6,38,62,38%,62%,12.82,,,,,,,
AZ,9,AZ09,51.1,46.6,51.3,47.3,49,51,51%,49%,0.71,,,,,,,
CA,1,CA01,40.3,56.6,41.8,53,38,62,41%,59%,10.25,,,,,,,
CA,2,CA02,68.9,26.9,71.4,25.4,68,32,71%,29%,19.62,,,,,,,
CA,3,CA03,54.1,43,54.9,42.3,48,52,52%,48%,0.97,,,,,,,
CA,4,CA04,39.6,58,42.9,54.2,38,62,41%,59%,10.17,,,,,,,
CA,5,CA05,69.8,27.4,70.4,26.6,67,33,70%,30%,18.53,,,,,,,
CA,6,CA06,69.1,28.3,67.6,29.3,59,41,64%,36%,13.08,,,,,,,
CA,7,CA07,50.8,46.8,51.4,45.9,44,56,48%,52%,2.86,,,,,,,
CA,8,CA08,41.7,55.6,41.6,54.8,35,65,39%,61%,12.21,,,,,,,
CA,9,CA09,57.8,40.1,56.3,40.8,49,51,53%,47%,2.21,,,,,,,
CA,10,CA10,50.6,47,49.9,47.2,42,58,47%,53%,4.59,,,,,,,
CA,11,CA11,67.6,30,68.8,28.4,65,35,68%,32%,16.64,,,,,,,
CA,12,CA12,84.1,12.5,82.8,12.8,85,15,86%,14%,34.57,,,,,,,
CA,13,CA13,87.5,9,87.1,9.9,87,13,88%,12%,37.16,,,,,,,
CA,14,CA14,74.2,23.6,73.3,23.6,72,28,74%,26%,22.58,,,,,,,
CA,15,CA15,68,29.8,67,30.1,63,37,66%,34%,14.74,,,,,,,
CA,16,CA16,58.6,39.4,57.1,39.9,48,52,53%,47%,2.14,,,,,,,
CA,17,CA17,71.9,25.5,68.6,27.6,66,34,69%,31%,17.39,,,,,,,
CA,18,CA18,68.2,28.9,69.8,26.9,66,34,69%,31%,17.82,,,,,,,
CA,19,CA19,71.2,26.5,67.5,28.8,63,37,66%,34%,15.27,,,,,,,
CA,20,CA20,70.9,26.2,71.4,25.6,66,34,70%,30%,18.53,,,,,,,
CA,21,CA21,54.6,43.5,51.5,45.7,43,57,48%,52%,3.29,,,,,,,
CA,22,CA22,41.6,56.6,42.3,55.3,34,66,39%,61%,12.6,,,,,,,
CA,23,CA23,36.1,61.5,36.2,60.9,29,71,33%,67%,18.13,,,,,,,
CA,24,CA24,54.1,43.1,56.2,40.7,51,49,54%,46%,3.23,,,,,,,
CA,25,CA25,47.8,49.7,48.7,48.1,41,59,46%,54%,5.64,,,,,,,
CA,26,CA26,54,43.7,56.1,41,49,51,53%,47%,2.11,,,,,,,
CA,27,CA27,62.6,35,61,35.5,57,43,60%,40%,8.84,,,,,,,
CA,28,CA28,70.3,26.5,70.1,26.3,67,33,70%,30%,18.59,,,,,,,
CA,29,CA29,77,20.5,73.8,22.5,68,32,72%,28%,21.02,,,,,,,
CA,30,CA30,65.3,32.1,65.8,30.9,62,38,65%,35%,13.76,,,,,,,
CA,31,CA31,57.2,40.6,55.6,40.7,48,52,53%,47%,1.56,,,,,,,
CA,32,CA32,65.2,32.5,62,35.5,56,44,60%,40%,8.53,,,,,,,
CA,33,CA33,60.6,36.8,64.1,32.9,62,38,64%,36%,12.8,,,,,,,
CA,34,CA34,83,14.1,77.1,18.7,77,23,79%,21%,27.49,,,,,,,
CA,35,CA35,67.4,30.6,64.1,32.3,57,43,62%,38%,10.45,,,,,,,
CA,36,CA36,50.7,47.5,50.1,47,44,56,48%,52%,3.47,,,,,,,
CA,37,CA37,84.9,12.7,84.3,12.8,81,19,84%,16%,32.65,,,,,,,
CA,38,CA38,64.9,33,61.1,35.2,57,43,60%,40%,8.95,,,,,,,
CA,39,CA39,47.1,50.8,47.3,49.4,41,59,45%,55%,6.32,,,,,,,
CA,40,CA40,81.5,16.5,76.9,19.4,73,27,76%,24%,25.15,,,,,,,
CA,41,CA41,61.5,36.3,58.5,38,49,51,55%,45%,3.49,,,,,,,
CA,42,CA42,41.4,56.5,43,53.9,34,66,39%,61%,12.11,,,,,,,
CA,43,CA43,78,20,75.2,21.8,71,29,74%,26%,23,,,,,,,
CA,44,CA44,84.7,13.6,81,15.8,76,24,80%,20%,28.56,,,,,,,
CA,45,CA45,43,54.8,46.3,50.6,38,62,43%,57%,8.4,,,,,,,
CA,46,CA46,61.4,36.2,57.8,38.6,48,52,54%,46%,2.66,,,,,,,
CA,47,CA47,60,37.5,57.9,38.6,52,48,56%,44%,4.71,,,,,,,
CA,48,CA48,43,54.7,45.9,50.8,39,61,43%,57%,8.05,,,,,,,
CA,49,CA49,45.7,52.3,49,47.9,42,58,46%,54%,5,,,,,,,
CA,50,CA50,37.6,60.4,39.1,58,34,66,37%,63%,14.13,,,,,,,
CA,51,CA51,69.4,28.9,65,31.7,57,43,62%,38%,10.81,,,,,,,
CA,52,CA52,52.1,45.7,54.6,42.5,49,51,53%,47%,1.35,,,,,,,
CA,53,CA53,61.4,36.4,60.7,36.4,53,47,58%,42%,6.47,,,,,,,
CO,1,CO01,69,28.8,70.8,27.6,65,35,68%,32%,17.23,,,,,,,
CO,2,CO02,57.9,39.5,61.2,37.2,56,44,59%,41%,7.86,,,,,,,
CO,3,CO03,45.8,51.8,48.4,49.9,45,56,47%,53%,4.35,,,,,,,
CO,4,CO04,39.2,58.5,41.9,56.4,35,65,39%,61%,12.43,,,,,,,
CO,5,CO05,38.3,59.1,39.7,58.8,33,67,37%,63%,14.59,,,,,,,
CO,6,CO06,51.6,46.5,53.7,44.9,46,54,50%,50%,1.01,,,,,,,
CO,7,CO07,56.1,41.3,57.4,40.7,51,49,55%,45%,3.51,,,,,,,
CT,1,CT01,63.3,35.6,66,32.7,60,40,63%,37%,12.2,,,,,,,
CT,2,CT02,55.9,42.6,58.7,39.9,55,45,57%,43%,6.04,,,,,,,
CT,3,CT03,62.6,36.3,62.5,36.3,57,43,60%,40%,8.9,,,,,,,
CT,4,CT04,55.1,44,59.7,39.7,53,47,57%,43%,5.3,,,,,,,
CT,5,CT05,53.5,45.3,56.2,42.6,50,50,53%,47%,2.21,,,,,,,
DE,1,DE01,58.6,40,61.9,36.9,54,46,58%,42%,7.09,,,,,,,
FL,1,FL01r,30.2,68.7,32.1,67,27,73,30%,70%,21.53,,,,,,,
FL,2,FL02r,46.5,52.3,47.1,52,48,52,48%,52%,3.45,,,,,,,
FL,3,FL03r,37.4,61.5,39.5,59.2,38,62,39%,61%,12.21,,,,,,,
FL,4,FL04r,35.4,63.7,36.5,62.5,31,69,34%,66%,17.29,,,,,,,
FL,5,FL05r,71.1,28.2,70.5,28.8,63,37,67%,33%,15.77,,,,,,,
FL,6,FL06r,41.4,57.7,45.4,53.4,45,55,45%,55%,5.74,,,,,,,
FL,7,FL07r,47.2,51.7,49.1,49.9,43,57,46%,54%,4.93,,,,,,,
FL,8,FL08r,42.2,56.8,43.8,54.9,41,59,43%,57%,8.54,,,,,,,
FL,9,FL09r,62.2,37,60.2,39,49,51,55%,45%,3.6,,,,,,,
FL,10,FL10r,45.7,53.8,47.2,52,42,58,45%,55%,6.44,,,,,,,
FL,11,FL11r,40.2,58.8,43,55.7,43,57,43%,57%,7.93,,,,,,,
FL,12,FL12r,44.8,54,46.6,52.1,43,57,45%,55%,6.12,,,,,,,
FL,13,FL13r,50.1,48.6,51.1,47.3,48,52,50%,50%,1.26,,,,,,,
FL,14,FL14r,65.1,34,65,34,59,41,62%,38%,11.1,,,,,,,
FL,15,FL15r,45.5,53.4,45.9,52.9,40,60,43%,57%,8.01,,,,,,,
FL,16,FL16r,44.9,54.2,48.1,50.8,45,55,47%,53%,4.41,,,,,,,
FL,17,FL17r,41.3,57.8,43,55.7,40,60,42%,58%,9.44,,,,,,,
FL,18,FL18r,47.6,51.7,51,48,49,51,50%,50%,0.96,,,,,,,
FL,19,FL19r,38.8,60.6,42.3,56.8,38,62,40%,60%,10.88,,,,,,,
FL,20,FL20r,82.6,17,80.4,19,77,23,79%,21%,27.72,,,,,,,
FL,21,FL21r,60.6,38.9,63.5,35.9,63,37,63%,37%,12.23,,,,,,,
FL,22,FL22r,54.4,44.9,56.7,42.5,56,44,57%,43%,5.36,,,,,,,
FL,23,FL23r,61.5,37.9,61.8,37.5,62,38,62%,38%,10.9,,,,,,,
