State,CD,Name,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008,Dem,GOP,PVI,,,,,,,,,
AK,1,AK01,"Young, Don",(R),41.2,55.3,38.1,59.7,41%,59%,12.19,,,,,,Dem08,52.9,GOP08,45.7
AL,01,AL01,"Byrne, Bradley",(R),37.4,61.8,38.5,60.9,38%,62%,14.78,,,,,,Dem12,51.1,GOP12,47.2
AL,02,AL02,"Roby, Martha",(R),36.4,62.9,35,64.5,36%,64%,17.08,,,,,,Dem,53%,GOP,47%
AL,03,AL03,"Rogers, Mike D.",(R),36.8,62.3,36.6,62.6,37%,63%,15.99,,,,,,,,,
AL,04,AL04,"Aderholt, Rob",(R),24,74.8,25.5,73.3,25%,75%,27.95,,,,,,,,,
AL,05,AL05,"Brooks, Mo",(R),34.9,63.9,36.3,62.6,36%,64%,16.99,,,,,,,,,
AL,06,AL06,"Palmer, Gary",(R),24.7,74.3,25,74.1,25%,75%,27.91,,,,,,,,,
AL,07,AL07,"Sewell, Terri",(D),72.4,27.1,71.5,28.1,72%,28%,19.28,,,,,,,,,
AR,01,AR01,"Crawford, Rick",(R),36.3,61,39.2,58,39%,61%,14.18,,,,,,,,,
AR,02,AR02,"Hill, French",(R),42.9,54.7,44.3,53.8,45%,55%,8.44,,,,,,,,,
AR,03,AR03,"Womack, Steve",(R),31.6,65.5,33.9,63.7,34%,66%,19.36,,,,,,,,,
AR,04,AR04,"Westerman, Bruce",(R),35.9,61.8,37.4,59.9,38%,62%,15.41,,,,,,,,,
AZ,01,AZ01,"Kirkpatrick, Ann",(D),47.9,50.4,47.8,51,49%,51%,4.45,,,,,,,,,
AZ,02,AZ02,"McSally, Martha",(R),48.4,49.9,48.9,49.8,49%,51%,3.61,,,,,,,,,
AZ,03,AZ03,"Grijalva, Raul",(D),61.4,36.9,58.2,40.7,61%,39%,7.65,,,,,,,,,
AZ,04,AZ04,"Gosar, Paul",(R),31,67.2,34.4,64.2,33%,67%,19.77,,,,,,,,,
AZ,05,AZ05,"Salmon, Matt",(R),34.6,63.8,36.3,62.6,36%,64%,17.06,,,,,,,,,
AZ,06,AZ06,"Schweikert, David",(R),38.8,59.5,41.2,57.7,41%,59%,12.43,,,,,,,,,
AZ,07,AZ07,"Gallego, Ruben",(D),71.7,26.5,64.7,34.1,69%,31%,16.24,,,,,,,,,
AZ,08,AZ08,"Franks, Trent",(R),36.9,61.7,38.4,60.6,38%,62%,14.89,,,,,,,,,
AZ,09,AZ09,"Sinema, Kyrsten",(D),51.1,46.6,51.3,47.4,52%,48%,0.86,,,,,,,,,
CA,01,CA01,"LaMalfa, Doug",(R),40.3,56.6,42,53,43%,57%,10.11,,,,,,,,,
CA,02,CA02,"Huffman, Jared",(D),69,27,71,25,73%,27%,19.92,,,,,,,,,
CA,03,CA03,"Garamendi, John",(D),54.3,43.1,55,42,56%,44%,3.22,,,,,,,,,
CA,04,CA04,"McClintock, Tom",(R),39.5,57.9,43,54,42%,58%,10.56,,,,,,,,,
CA,05,CA05,"Thompson, Mike",(D),69.7,27.5,70,26,72%,28%,19.31,,,,,,,,,
CA,06,CA06,"Matsui, Doris",(D),69.1,28.3,68,29,71%,29%,17.52,,,,,,,,,
CA,07,CA07,"Bera, Ami",(D),50.8,46.8,51,46,52%,48%,0.69,,,,,,,,,
CA,08,CA08,"Cook, Paul",(R),41.7,55.6,42,55,43%,57%,9.92,,,,,,,,,
CA,09,CA09,"McNerney, Jerry",(D),57.8,40.1,56,41,58%,42%,5.39,,,,,,,,,
CA,10,CA10,"Denham, Jeff",(R),50.6,47,50,47,52%,48%,1.3,,,,,,,,,
CA,11,CA11,"DeSaulnier, Mark",(D),67.6,30,69,28,70%,30%,17.2,,,,,,,,,
CA,12,CA12,"Pelosi, Nancy",(D),84.1,12.5,84,13,87%,13%,33.83,,,,,,,,,
CA,13,CA13,"Lee, Barbara",(D),87.5,9,87,10,90%,10%,37.18,,,,,,,,,
CA,14,CA14,"Speier, Jackie",(D),74.2,23.6,73,24,76%,24%,22.56,,,,,,,,,
CA,15,CA15,"Swalwell, Eric",(D),68,29.8,67,30,69%,31%,16.3,,,,,,,,,
CA,16,CA16,Jim Costa,(D),58.6,39.4,57,40,59%,41%,6.28,,,,,,,,,
CA,17,CA17,"Honda, Mike",(D),71.9,25.5,69,28,72%,28%,19.48,,,,,,,,,
CA,18,CA18,"Eshoo, Anna",(D),68.2,28.9,70,27,71%,29%,18.2,,,,,,,,,
CA,19,CA19,"Lofgren, Zoe",(D),71.2,26.5,68,29,71%,29%,18.49,,,,,,,,,
CA,20,CA20,"Farr, Sam",(D),70.9,26.2,71,26,73%,27%,20.11,,,,,,,,,
CA,21,CA21,"Valadao, David",(R),54.6,43.5,52,46,54%,46%,1.36,,,,,,,,,
CA,22,CA22,"Nunes, Devin",(R),41.6,56.6,42,55,43%,57%,10.17,,,,,,,,,
CA,23,CA23,"McCarthy, Kevin",(R),36.1,61.5,36,61,37%,63%,15.95,,,,,,,,,
CA,24,CA24,"Capps, Lois",(D),54.1,43.1,56,41,57%,43%,3.69,,,,,,,,,
CA,25,CA25,"Knight, Steve",(R),47.8,49.7,49,48,50%,50%,3.23,,,,,,,,,
CA,26,CA26,"Brownley, Julia",(D),54,43.7,56,41,56%,44%,3.5,,,,,,,,,
CA,27,CA27,"Chu, Judy",(D),62.6,35,61,35,64%,36%,10.84,,,,,,,,,
CA,28,CA28,"Schiff, Adam",(D),70.3,26.5,70,26,73%,27%,19.77,,,,,,,,,
CA,29,CA29,"Cardenas, Tony",(D),77,20.5,74,23,78%,22%,24.63,,,,,,,,,
CA,30,CA30,"Sherman, Brad",(D),65.3,32.1,66,31,68%,32%,14.54,,,,,,,,,
CA,31,CA31,"Aguilar, Pete",(D),57.2,40.6,56,41,58%,42%,5.11,,,,,,,,,
CA,32,CA32,"Napolitano, Grace",(D),65.2,32.5,62,35,65%,35%,12.33,,,,,,,,,
CA,33,CA33,"Lieu, Ted",(D),60.6,36.8,64,33,64%,36%,11.09,,,,,,,,,
CA,34,CA34,"Becerra, Xavier",(D),83,14.1,77,19,83%,17%,29.86,,,,,,,,,
CA,35,CA35,"Torres, Norma",(D),67.4,30.6,64,32,68%,32%,14.73,,,,,,,,,
CA,36,CA36,"Ruiz, Raul",(D),50.7,47.5,50,47,52%,48%,1.41,,,,,,,,,
CA,37,CA37,"Bass, Karen",(D),84.9,12.7,84,13,87%,13%,33.79,,,,,,,,,
CA,38,CA38,"Sanchez, Linda",(D),64.9,33,61,35,65%,35%,11.93,,,,,,,,,
CA,39,CA39,"Royce, Ed",(R),47.1,50.8,47,49,49%,51%,4.47,,,,,,,,,
CA,40,CA40,"Roybal-Allard, Lucille",(D),81.5,16.5,77,19,82%,18%,28.7,,,,,,,,,
CA,41,CA41,"Takano, Mark",(D),61.5,36.3,59,38,62%,38%,8.86,,,,,,,,,
CA,42,CA42,"Calvert, Ken",(R),41.4,56.5,43,54,43%,57%,9.7,,,,,,,,,
CA,43,CA43,"Waters, Maxine",(D),78,20,75,22,78%,22%,25.46,,,,,,,,,
CA,44,CA44,"Hahn, Janice",(D),84.7,13.6,81,16,85%,15%,31.84,,,,,,,,,
CA,45,CA45,"Walters, Mimi",(R),43,54.8,46,51,46%,54%,7.31,,,,,,,,,
CA,46,CA46,"Sanchez, Loretta",(D),61.4,36.2,58,39,61%,39%,8.36,,,,,,,,,
CA,47,CA47,"Lowenthal, Alan",(D),60,37.5,58,39,61%,39%,7.67,,,,,,,,,
CA,48,CA48,"Rohrabacher, Dana",(R),43,54.7,46,51,46%,54%,7.29,,,,,,,,,
CA,49,CA49,"Issa, Darrell",(R),45.7,52.4,49,48,49%,51%,4.46,,,,,,,,,
CA,50,CA50,"Hunter, Duncan",(R),37.6,60.4,39,58,39%,61%,13.72,,,,,,,,,
CA,51,CA51,"Vargas, Juan",(D),69.4,28.9,65,32,69%,31%,15.82,,,,,,,,,
CA,52,CA52,"Peters, Scott",(D),52.1,45.7,55,43,55%,45%,1.7,,,,,,,,,
CA,53,CA53,"Davis, Susan",(D),61.4,36.4,61,36,63%,37%,9.83,,,,,,,,,
CO,01,CO01,"DeGette, Diana",(D),69,28.8,70.9,27.6,71%,29%,18.27,,,,,,,,,
CO,02,CO02,"Polis, Jared",(D),57.9,39.5,61.2,37.2,61%,39%,7.83,,,,,,,,,
CO,03,CO03,"Tipton, Scott",(R),45.8,51.8,48.4,49.9,48%,52%,4.91,,,,,,,,,
CO,04,CO04,"Buck, Ken",(R),39.2,58.5,41.9,56.4,41%,59%,11.62,,,,,,,,,
CO,05,CO05,"Lamborn, Doug",(R),38.3,59.1,39.7,58.8,40%,60%,13.18,,,,,,,,,
CO,06,CO06,"Coffman, Mike",(R),51.6,46.5,53.6,44.9,54%,46%,0.51,,,,,,,,,
CO,07,CO07,"Perlmutter, Ed",(D),56.1,41.3,57.4,40.7,58%,42%,5.06,,,,,,,,,
