State,CD,Name,Incumbent,Party,Dem16,GOP16,Dem12,GOP12,Dem08,GOP08
AK,1,AK01,"Young, Don",(R),37.6,52.8,41.2,55.3,38.1,59.7
AL,1,AL01,"Byrne, Bradley",(R),34.1,63.5,37.4,61.8,38.5,60.9
AL,2,AL02,"Roby, Martha",(R),33,64.9,36.4,62.9,35,64.5
AL,3,AL03,"Rogers, Mike",(R),32.3,65.3,36.8,62.3,36.6,62.6
AL,4,AL04,"Aderholt, Rob",(R),17.4,80.4,24,74.8,25.5,73.3
AL,5,AL05,"Brooks, Mo",(R),31.3,64.7,34.9,63.9,36.3,62.6
AL,6,AL06,"Palmer, Gary",(R),26.1,70.8,24.7,74.3,25,74.1
AL,7,AL07,"Sewell, Terri",(D),69.8,28.6,72.4,27.1,71.5,28.1
AR,1,AR01,"Crawford, Rick",(R),30.2,65,36.3,61,39.2,58
AR,2,AR02,"Hill, French",(R),41.7,52.4,42.9,54.7,44.3,53.8
AR,3,AR03,"Womack, Steve",(R),30.5,61.9,31.6,65.5,33.9,63.7
AR,4,AR04,"Westerman, Bruce",(R),31.3,64.2,35.9,61.8,37.4,59.9
AZ,1,AZ01,"O'Halleran, Tom",(D),46.6,47.7,47.9,50.4,47.8,51
AZ,2,AZ02,"McSally, Martha",(R),49.6,44.7,48.4,49.9,48.9,49.8
AZ,3,AZ03,"Grijalva, Raul",(D),62.4,32.5,61.4,36.9,58.2,40.7
AZ,4,AZ04,"Gosar, Paul",(R),27.5,67.7,31,67.2,34.4,64.2
AZ,5,AZ05,"Biggs, Andy",(R),36.5,57.6,34.6,63.8,36.3,62.6
AZ,6,AZ06,"Schweikert, David",(R),42.4,52.4,38.8,59.5,41.2,57.7
AZ,7,AZ07,"Gallego, Ruben",(D),71.8,22.6,71.7,26.5,64.7,34.1
AZ,8,AZ08,"Lesko, Debbie",(R),37,58.1,36.9,61.7,38.4,60.6
AZ,9,AZ09,"Sinema, Kyrsten",(D),54.7,38.4,51.1,46.6,51.3,47.4
CA,1,CA01,"LaMalfa, Doug",(R),36.5,56.2,40.3,56.6,42,53
CA,2,CA02,"Huffman, Jared",(D),69,23.3,69,27,71,25
CA,3,CA03,"Garamendi, John",(D),53,40.4,54.3,43.1,55,42
CA,4,CA04,"McClintock, Tom",(R),39.3,54,39.5,57.9,43,54
CA,5,CA05,"Thompson, Mike",(D),69.2,24.3,69.7,27.5,70,26
CA,6,CA06,"Matsui, Doris",(D),69.2,24.4,69.1,28.3,68,29
CA,7,CA07,"Bera, Ami",(D),52.3,40.9,50.8,46.8,51,46
CA,8,CA08,"Cook, Paul",(R),39.6,54.7,41.7,55.6,42,55
CA,9,CA09,"McNerney, Jerry",(D),56.6,38,57.8,40.1,56,41
CA,10,CA10,"Denham, Jeff",(R),48.5,45.5,50.6,47,50,47
CA,11,CA11,"DeSaulnier, Mark",(D),71.5,22.7,67.6,30,69,28
CA,12,CA12,"Pelosi, Nancy",(D),86.2,8.7,84.1,12.5,84,13
CA,13,CA13,"Lee, Barbara",(D),87.4,6.8,87.5,9,87,10
CA,14,CA14,"Speier, Jackie",(D),76.9,18.2,74.2,23.6,73,24
CA,15,CA15,"Swalwell, Eric",(D),69.9,24.2,68,29.8,67,30
CA,16,CA16,"Costa, Jim",(D),58,36.4,58.6,39.4,57,40
CA,17,CA17,"Khanna, Ro",(D),73.9,20.5,71.9,25.5,69,28
CA,18,CA18,"Eshoo, Anna",(D),73.4,20.2,68.2,28.9,70,27
CA,19,CA19,"Lofgren, Zoe",(D),72.9,21.5,71.2,26.5,68,29
CA,20,CA20,"Panetta, Jimmy",(D),70.4,23.2,70.9,26.2,71,26
CA,21,CA21,"Valadao, David",(R),55.2,39.7,54.6,43.5,52,46
CA,22,CA22,"Nunes, Devin",(R),42.6,52.1,41.6,56.6,42,55
CA,23,CA23,"McCarthy, Kevin",(R),36.1,58.1,36.1,61.5,36,61
CA,24,CA24,"Carbajal, Salud",(D),56.7,36.5,54.1,43.1,56,41
CA,25,CA25,"Knight, Steve",(R),50.3,43.6,47.9,49.7,49,48
CA,26,CA26,"Brownley, Julia",(D),57.9,36,54,43.7,56,41
CA,27,CA27,"Chu, Judy",(D),66,28.4,62.6,35,61,35
CA,28,CA28,"Schiff, Adam",(D),72.1,22.3,70.3,26.5,70,26
CA,29,CA29,"Cardenas, Tony",(D),77.7,16.8,77,20.5,74,23
CA,30,CA30,"Sherman, Brad",(D),69.1,25.7,65.3,32.1,66,31
CA,31,CA31,"Aguilar, Pete",(D),57.7,36.6,57.2,40.6,56,41
CA,32,CA32,"Napolitano, Grace",(D),66.6,27.7,65.2,32.5,62,35
CA,33,CA33,"Lieu, Ted",(D),67.8,26.5,60.6,36.8,64,33
CA,34,CA34,"Gomez, Jimmy",(D),83.6,10.7,83,14.1,77,19
CA,35,CA35,"Torres, Norma",(D),67.7,26.9,67.4,30.6,64,32
CA,36,CA36,"Ruiz, Raul",(D),52.2,43.4,50.7,47.5,50,47
CA,37,CA37,"Bass, Karen",(D),85.7,9.6,84.9,12.7,84,13
CA,38,CA38,"Sanchez, Linda",(D),67,27.4,64.9,33,61,35
CA,39,CA39,"Royce, Ed",(R),51.5,42.9,47.1,50.8,47,49
CA,40,CA40,"Roybal-Allard, Lucille",(D),82.2,12.8,81.5,16.5,77,19
CA,41,CA41,"Takano, Mark",(D),61,33.1,61.5,36.3,59,38
