"CD_Name","cluster"
"AL01",5
"AL02",5
"AL03",5
"AL04",5
"AL05",5
"AL06",1
"AL07",2
"AK01",1
"AZ01",5
"AZ02",6
"AZ03",3
"AZ04",5
"AZ05",1
"AZ06",4
"AZ07",3
"AZ08",1
"AZ09",3
"AR01",5
"AR02",5
"AR03",5
"AR04",5
"CA01",5
"CA02",6
"CA03",3
"CA04",1
"CA05",6
"CA06",3
"CA07",4
"CA08",3
"CA09",3
"CA10",3
"CA11",4
"CA12",4
"CA13",6
"CA14",4
"CA15",4
"CA16",3
"CA17",4
"CA18",4
"CA19",4
"CA20",3
"CA21",3
"CA22",3
"CA23",1
"CA24",6
"CA25",4
"CA26",4
"CA27",6
"CA28",6
"CA29",3
"CA30",6
"CA31",3
"CA32",3
"CA33",4
"CA34",3
"CA35",3
"CA36",3
"CA37",3
"CA38",3
"CA39",6
"CA40",3
"CA41",3
"CA42",1
"CA43",3
"CA44",3
"CA45",4
"CA46",3
"CA47",3
"CA48",4
"CA49",4
"CA50",1
"CA51",3
"CA52",4
"CA53",6
"CO01",6
"CO02",6
"CO03",5
"CO04",1
"CO05",1
"CO06",4
"CO07",1
"CT01",4
"CT02",1
"CT03",6
"CT04",4
"CT05",1
"DE01",1
"FL01",2
"FL02",5
"FL03",5
"FL04",5
"FL05",6
"FL06",2
"FL07",5
"FL08",6
"FL09",5
"FL10",3
"FL11",3
"FL12",5
"FL13",5
"FL14",6
"FL15",6
"FL16",5
"FL17",5
"FL18",5
"FL19",5
"FL20",6
"FL21",2
"FL22",6
"FL23",6
"FL24",6
"FL25",2
"FL26",3
"FL27",3
"GA01",3
"GA02",5
"GA03",2
"GA04",6
"GA05",2
"GA06",2
"GA07",4
"GA08",6
"GA09",5
"GA10",5
"GA11",1
"GA12",6
"GA13",2
"GA14",2
"HI01",1
"HI02",6
"ID01",5
"ID02",5
"IL01",1
"IL02",2
"IL03",2
"IL04",6
"IL05",3
"IL06",4
"IL07",4
"IL08",2
"IL09",6
"IL10",4
"IL11",6
"IL12",6
"IL13",5
"IL14",1
"IL15",1
"IL16",5
"IL17",5
"IL18",5
"IN01",1
"IN02",5
"IN03",5
"IN04",5
"IN05",1
"IN06",1
"IN07",5
"IN08",2
"IN09",5
"IA01",5
"IA02",5
"IA03",1
"IA04",5
"KS01",5
"KS02",5
"KS03",1
"KS04",6
"KY01",5
"KY02",5
"KY03",5
"KY04",1
"KY05",5
"KY06",5
"LA01",5
"LA02",6
"LA03",2
"LA04",5
"LA05",5
"LA06",5
"ME01",5
"ME02",5
"MD01",5
"MD02",1
"MD03",6
"MD04",4
"MD05",4
"MD06",4
"MD07",6
"MD08",2
"MA01",6
"MA02",1
"MA03",1
"MA04",4
"MA05",4
"MA06",4
"MA07",6
"MA08",2
"MA01",6
"MI01",5
"MI02",5
"MI03",5
"MI04",5
"MI05",5
"MI06",5
"MI07",5
"MI08",1
"MI09",6
"MI10",1
"MI11",1
"MI12",6
"MI13",6
"MI14",2
"MN01",2
"MN02",1
"MN03",4
"MN04",6
"MN05",6
"MN06",6
"MN07",5
"MN08",5
"MS01",5
"MS02",5
"MS03",2
"MS04",5
"MO01",5
"MO02",2
"MO03",6
"MO04",5
"MO05",5
"MO06",5
"MO07",5
"MO08",5
"MT01",5
"NE01",5
"NE02",1
"NE03",5
"NV01",5
"NV02",3
"NV03",1
