Pollster,Date,Polled,Model,R,D,Gap,538 Grade,Mean-Reverted Bias,Grade,Adjusted R,Adjusted D,Adjusted Gap
NBC News/Wall Street Journal, 11/2/2008,1011,LV,36,48,-12,A-,0.81,3.7,36.4,47.6,-11.19
Gallup, 11/2/2008,2472,LV,41,53,-12,B,-0.9,3,40.55,53.45,-12.9
Diageo/Hotline, 11/2/2008,887,LV,39,44,-5,C,0,2,39,44,-5
CBS News/New York Times, 10/29/2008,1005,LV,36,48,-12,A-,0.44,3.7,36.22,47.78,-11.56
George Washington University (Battleground), 10/29/2008,1000,LV,41,45,-4,B,-0.98,3,40.51,45.49,-4.98
Rasmussen Reports/Pulse Opinion Research, 10/26/2008,7000,LV,40,47,-7,C+,-1.49,2.3,39.26,47.74,-8.49
CBS News/New York Times, 10/22/2008,1146,RV,36,48,-12,A-,0.44,3.7,36.22,47.78,-11.56
George Washington University (Battleground), 10/22/2008,1000,LV,40,48,-8,B,-0.98,3,39.51,48.49,-8.98
NBC News/Wall Street Journal, 10/20/2008,1159,RV,38,49,-11,A-,0.81,3.7,38.4,48.6,-10.19
George Washington University (Battleground), 10/15/2008,1000,LV,40,49,-9,B,-0.98,3,39.51,49.49,-9.98
Los Angeles Times, 10/13/2008,1030,LV,39,45,-6,A-,-0.43,3.7,38.79,45.21,-6.43
CBS News/New York Times, 10/13/2008,699,LV,34,48,-14,A-,0.44,3.7,34.22,47.78,-13.56
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/9/2008,900,RV,36,44,-8,A,0.61,4,36.31,43.69,-7.39
George Washington University (Battleground), 10/9/2008,800,LV,38,49,-11,B,-0.98,3,37.51,49.49,-11.98
NBC News/Wall Street Journal, 10/5/2008,658,RV,36,49,-13,A-,0.81,3.7,36.4,48.6,-12.19
GfK Group, 9/30/2008,808,LV,36,49,-13,B,0.25,3,36.13,48.87,-12.75
Time, 9/29/2008,1133,LV,36,46,-10,C,0,2,36,46,-10
