1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME (Last; First),TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)"
2,Alabama,AL,1,H2AL01077,(I),Jo,Bonner,Bonner; Jo,,REP,56937,75.25%,,,129063,82.58%,,
3,Alabama,AL,1,H0AL01030,,Peter,Gounares,Gounares; Peter,,REP,18725,24.75%,,,,,,
4,Alabama,AL,1,n/a,,,,,Party Votes:,REP,75662,,,,,,,
5,Alabama,AL,1,H0AL01048,,David,Walter,Walter; David,,CPA,,,,,26357,16.87%,,
6,Alabama,AL,1,n/a,,,Scattered,Scattered,,W,,,,,861,0.55%,,
7,Alabama,AL,1,n/a,,,,,District Votes:,,75662,,,,156281,,,
8,Alabama,AL,,n/a,,,,,,,,,,,,,,
9,Alabama,AL,2,H0AL02087,,Martha,Roby,Roby; Martha,,REP,36295,48.55%,39169,60.02%,111645,50.97%,,
10,Alabama,AL,2,H0AL02103,,Rick,Barber,Barber; Rick,,REP,21313,28.51%,26091,39.98%,,,,
11,Alabama,AL,2,H0AL02111,,Stephanie,Bell,Bell; Stephanie,,REP,13797,18.46%,,,,,,
12,Alabama,AL,2,H0AL02129,,John Beau III,McKinney,McKinney; John Beau; III,,REP,3349,4.48%,,,,,,
13,Alabama,AL,2,n/a,,,,,Party Votes:,REP,74754,,65260,,,,,
14,Alabama,AL,2,H8AL02130,(I),Bobby,Bright,Bright; Bobby,,DEM,Unopposed,,,,106865,48.79%,,
15,Alabama,AL,2,n/a,,,Scattered,Scattered,,W,,,,,518,0.24%,,
16,Alabama,AL,2,n/a,,,,,District Votes:,,74754,,65260,,219028,,,
17,Alabama,AL,,n/a,,,,,,,,,,,,,,
18,Alabama,AL,3,H2AL03032,(I),Mike,Rogers,Rogers; Mike,,REP,Unopposed,,,,117736,59.42%,,
19,Alabama,AL,3,H0AL03184,,Steve,Segrest,Segrest; Steve,,DEM,Unopposed,,,,80204,40.48%,,
20,Alabama,AL,3,n/a,,,Scattered,Scattered,,W,,,,,199,0.10%,,
21,Alabama,AL,3,n/a,,,,,District Votes:,,,,,,198139,,,
22,Alabama,AL,,n/a,,,,,,,,,,,,,,
23,Alabama,AL,4,H6AL04098,(I),Robert,Aderholt,Aderholt; Robert,,REP,Unopposed,,,,167714,98.82%,,
24,Alabama,AL,4,n/a,,,Scattered,Scattered,,W,,,,,2007,1.18%,,
25,Alabama,AL,4,n/a,,,,,District Votes:,,,,,,169721,,,
26,Alabama,AL,,n/a,,,,,,,,,,,,,,
27,Alabama,AL,5,H0AL05163,,Mo,Brooks,Brooks; Mo,,REP,35746,50.81%,,,131109,57.89%,,
28,Alabama,AL,5,H8AL05109,(I),Parker,Griffith,Griffith; Parker,,REP,23525,33.44%,,,,,,
29,Alabama,AL,5,H0AL05155,,Les,Phillip,Phillip; Les,,REP,11085,15.76%,,,,,,
30,Alabama,AL,5,n/a,,,,,Party Votes:,REP,70356,,,,,,,
31,Alabama,AL,5,H0AL05197,,Steve,Raby,Raby; Steve,,DEM,27814,61.67%,,,95192,42.03%,,
32,Alabama,AL,5,H0AL05189,,Taze,Shepard,Shepard; Taze,,DEM,10262,22.75%,,,,,,
33,Alabama,AL,5,H0AL05171,,Mitchell J.,Howie,Howie; Mitchell J.,,DEM,5277,11.70%,,,,,,
34,Alabama,AL,5,H8AL05117,,David J.,Maker,Maker; David J.,,DEM,1751,3.88%,,,,,,
35,Alabama,AL,5,n/a,,,,,Party Votes:,DEM,45104,,,,,,,
36,Alabama,AL,5,n/a,,,Scattered,Scattered,,W,,,,,189,0.08%,,
37,Alabama,AL,5,n/a,,,,,District Votes:,,115460,,,,226490,,,
38,Alabama,AL,,n/a,,,,,,,,,,,,,,
39,Alabama,AL,6,H2AL06035,(I),Spencer,Bachus,Bachus; Spencer,,REP,80725,75.64%,,,205288,98.05%,,
40,Alabama,AL,6,H0AL06088,,Stan,Cooke,Cooke; Stan,,REP,25997,24.36%,,,,,,
41,Alabama,AL,6,n/a,,,,,Party Votes:,REP,106722,,,,,,,
42,Alabama,AL,6,n/a,,,Scattered,Scattered,,W,,,,,4076,1.95%,,
43,Alabama,AL,6,n/a,,,,,District Votes:,,106722,,,,209364,,,
44,Alabama,AL,,n/a,,,,,,,,,,,,,,
45,Alabama,AL,7,H0AL07086,,Terri A.,Sewell,Sewell; Terri A.,,DEM,31531,36.80%,32366,55.00%,136696,72.43%,,
46,Alabama,AL,7,H0AL07102,,Shelia,Smoot,Smoot; Shelia,,DEM,24490,28.59%,26481,45.00%,,,,
47,Alabama,AL,7,H0AL07094,,Earl Jr.,Hilliard,Hilliard; Earl; Jr.,,DEM,22981,26.82%,,,,,,
48,Alabama,AL,7,H0AL00016,,Martha,Bozeman,Bozeman; Martha,,DEM,6672,7.79%,,,,,,
49,Alabama,AL,7,n/a,,,,,Party Votes:,DEM,85674,,58847,,,,,
50,Alabama,AL,7,H0AL07177,,Don,Chamberlain,Chamberlain; Don,,REP,6166,37.58%,11783,55.76%,51890,27.50%,,
51,Alabama,AL,7,H0AL07185,,Chris,Salter,Salter; Chris,,REP,4826,29.42%,9349,44.24%,,,,
52,Alabama,AL,7,H0AL07144,,Michele,Waller,Waller; Michele,,REP,2804,17.09%,,,,,,
53,Alabama,AL,7,H0AL07169,,Carol F.,Hendrickson,Hendrickson; Carol F.,,REP,2610,15.91%,,,,,,
54,Alabama,AL,7,n/a,,,,,Party Votes:,REP,16406,,21132,,,,,
55,Alabama,AL,7,n/a,,,Scattered,Scattered,,W,,,,,138,0.07%,,
56,Alabama,AL,7,n/a,,,,,District Votes:,,102080,,79979,,188724,,,
57,Alabama,AL,,n/a,,,,,,,,,,,,,,
58,Alabama,AL,H,n/a,,,,,Total State Votes:,,474678,,145239,,1367747,,,
59,Alabama,AL,,n/a,,,,,,,,,,,,,,
60,Alabama,AL,,n/a,,,,,,,,,,,,,,
61,Alabama,AL,S,S6AL00013,(I),Richard C.,Shelby,Shelby; Richard C.,,REP,405398,84.35%,,,968181,65.18%,,
62,Alabama,AL,S,S0AL00180,,"N.C. ""Clint""",Moser,"Moser; N.C. ""Clint""",,REP,75190,15.65%,,,,,,
63,Alabama,AL,S,n/a,,,,,Party Votes:,REP,480588,,,,,,,
64,Alabama,AL,S,S0AL00164,,William G.,Barnes,Barnes; William G.,,DEM,160993,60.77%,,,515619,34.71%,,
65,Alabama,AL,S,S0AL00172,,Simone D.,De Moore,De Moore; Simone D.,,DEM,103942,39.23%,,,,,,
66,Alabama,AL,S,n/a,,,,,Party Votes:,DEM,264935,,,,,,,
67,Alabama,AL,S,n/a,,,Scattered,Scattered,,W,,,,,1699,0.11%,,
68,Alabama,AL,S,n/a,,,,,Total State Votes:,,745523,,,,1485499,,,
69,,,,n/a,,,,,,,,,,,,,,
70,Alaska,AK,0,H6AK00045,(I),Don,Young,Young; Don,,REP,74310,70.35%,,,175384,68.96%,,
71,Alaska,AK,0,H0AK01038,,Sheldon,Fisher,Fisher; Sheldon,,REP,24709,23.39%,,,,,,
72,Alaska,AK,0,H0AK00097,,John R. ,Cox,Cox; John R. ,,REP,6605,6.25%,,,,,,
73,Alaska,AK,0,n/a,,,,,Party Votes:,REP,105624,,,,,,,
74,Alaska,AK,0,H0AK00089,,Harry T. Jr.,Crawford,Crawford; Harry T.; Jr.,,DEM,38673,100.00%,,,77606,30.51%,,
75,Alaska,AK,0,n/a,,,,,Party Votes:,DEM,38673,,,,,,,
76,Alaska,AK,0,n/a,,,Scattered,Scattered,,W,,,,,1345,0.53%,,
77,Alaska,AK,0,n/a,,,,,District Votes:,,144297,,,,254335,,,
78,Alaska,AK,H,n/a,,,,,Total State Votes:,,144297,,,,254335,,,
79,Alaska,AK,,n/a,,,,,,,,,,,,,,
80,Alaska,AK,,n/a,,,,,,,,,,,,,,
81,Alaska,AK,S,S4AK00099,(I),Lisa ,Murkowski,Murkowski; Lisa ,,REP/W***,53872,49.09%,,,92931,36.08%,,
82,Alaska,AK,S,S0AK00121,,Joe,Miller,Miller; Joe,,REP,55878,50.91%,,,90839,35.27%,,
83,Alaska,AK,S,n/a,,,,,Party Votes:,REP,109750,,,,,,,
84,Alaska,AK,S,S0AK00139,,Scott T.,McAdams,McAdams; Scott T.,,DEM,18035,59.55%,,,60045,23.32%,,
85,Alaska,AK,S,S0AK00147,,Jacob Seth,Kern,Kern; Jacob Seth,,DEM,6913,22.82%,,,,,,
86,Alaska,AK,S,S0AK00097,,Frank J.,Vondersaar,Vondersaar; Frank J.,,DEM,5339,17.63%,,,,,,
87,Alaska,AK,S,n/a,,,,,Party Votes:,DEM,30287,,,,,,,
88,Alaska,AK,S,S4AK00099,,,Murkowski,Murkowski,,W (Challenged Counted),,,,,8160,3.17%,,
89,Alaska,AK,S,,,,Murkowski,Murkowski,,W (Challenged NOT Counted),,,,,2035,0.79%,,
90,Alaska,AK,S,S8AK00165,,"Fredrick ""David""",Haase,"Haase; Fredrick ""David""",,LIB,5793,100.00%,,,1459,0.57%,,
91,Alaska,AK,S,n/a,,,,,Party Votes:,LIB,5793,,,,,,,
92,Alaska,AK,S,S0AK00154,,Tim,Carter,Carter; Tim,,NAF,,,,,927,0.36%,,
93,Alaska,AK,S,n/a,,,Other - Misc. Names,Other - Misc. Names,,W,,,,,602,0.23%,,
94,Alaska,AK,S,S4AK00115,,Ted,Gianoutsos,Gianoutsos; Ted,,NAF,,,,,458,0.18%,,
95,Alaska,AK,S,S0AK00121,,Joe,Miller,Miller; Joe,,W,,,,,21,0.01%,,
96,Alaska,AK,S,S0AK00162,,Sid,Hill,Hill; Sid,,W,,,,,13,0.01%,,
97,Alaska,AK,S,n/a,,,McAdams,McAdams,,W,,,,,8,0.00%,,
98,Alaska,AK,S,n/a,,Edward D.,Marin Jr.,Marin Jr.; Edward D.,,W,,,,,6,0.00%,,
99,Alaska,AK,S,n/a,,Red K.,Bradley,Bradley; Red K.,,W,,,,,3,0.00%,,
100,Alaska,AK,S,n/a,,Guy A.,Cummins,Cummins; Guy A.,,W,,,,,2,0.00%,,
101,Alaska,AK,S,n/a,,Lisa M.,Lackey,Lackey; Lisa M.,,W,,,,,2,0.00%,,
102,Alaska,AK,S,n/a,,Richard,McGahan,McGahan; Richard,,W,,,,,2,0.00%,,
103,Alaska,AK,S,n/a,,Marvin Roger,Moser,Moser; Marvin Roger,,W,,,,,2,0.00%,,
104,Alaska,AK,S,n/a,,Karen,Perry,Perry; Karen,,W,,,,,2,0.00%,,
105,Alaska,AK,S,n/a,,Eileen M.,Ransom,Ransom; Eileen M.,,W,,,,,2,0.00%,,
106,Alaska,AK,S,n/a,,Jed,Whittaker,Whittaker; Jed,,W,,,,,2,0.00%,,
107,Alaska,AK,S,n/a,,Michael,Ames,Ames; Michael,,W,,,,,1,0.00%,,
108,Alaska,AK,S,n/a,,Kevin,Austin,Austin; Kevin,,W,,,,,1,0.00%,,
109,Alaska,AK,S,n/a,,David E.,Beeman,Beeman; David E.,,W,,,,,1,0.00%,,
110,Alaska,AK,S,n/a,,Vicky L.,Beeman,Beeman; Vicky L.,,W,,,,,1,0.00%,,
111,Alaska,AK,S,n/a,,David,Boyle,Boyle; David,,W,,,,,1,0.00%,,
112,Alaska,AK,S,n/a,,Michael,Butler,Butler; Michael,,W,,,,,1,0.00%,,
113,Alaska,AK,S,n/a,,Margaret A.,Crowell,Crowell; Margaret A.,,W,,,,,1,0.00%,,
114,Alaska,AK,S,n/a,,Chris S.,Dillingham,Dillingham; Chris S.,,W,,,,,1,0.00%,,
115,Alaska,AK,S,n/a,,David S.,George,George; David S.,,W,,,,,1,0.00%,,
116,Alaska,AK,S,n/a,,Alan D.,Humphries,Humphries; Alan D.,,W,,,,,1,0.00%,,
117,Alaska,AK,S,n/a,,Petter M.,Johnson,Johnson; Petter M.,,W,,,,,1,0.00%,,
118,Alaska,AK,S,n/a,,Eric C.,Kelly,Kelly; Eric C.,,W,,,,,1,0.00%,,
119,Alaska,AK,S,n/a,,Bill,Klemme,Klemme; Bill,,W,,,,,1,0.00%,,
120,Alaska,AK,S,n/a,,Marjori,Landis-Beck,Landis-Beck; Marjori,,W,,,,,1,0.00%,,
121,Alaska,AK,S,n/a,,Anthony,Rice,Rice; Anthony,,W,,,,,1,0.00%,,
122,Alaska,AK,S,n/a,,Thompson,Steve,Steve; Thompson,,W,,,,,1,0.00%,,
123,Alaska,AK,S,n/a,,Georgia Lee,Tolbert,Tolbert; Georgia Lee,,W,,,,,1,0.00%,,
