Pollster,Date,Approve,Disapprove,Gap,President,538 Grade,Mean-Reverted Bias,Grade,Adjusted Approve,Adjusted Disapprove,Adjusted Gap
Fox News/Anderson Robbins Research/Shaw & Co. Research, 11/2/2008,27,67,-40,Bush,A,0.61413043,4,27.30706522,66.69293479,-39.38586957
NBC News/Wall Street Journal, 11/2/2008,26,67,-41,Bush,A-,0.80923077,3.7,26.40461539,66.59538462,-40.19076923
Diageo/Hotline, 11/2/2008,30,68,-38,Bush,C,0,2,30,68,-38
CBS News/New York Times, 11/2/2008,20,72,-52,Bush,A-,0.43547945,3.7,20.21773973,71.78226028,-51.56452055
CNN/Opinion Research Corp., 11/1/2008,28,71,-43,Bush,B+,0.0607,3.3,28.03035,70.96965,-42.9393
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/29/2008,30,66,-36,Bush,A,0.61413043,4,30.30706522,65.69293479,-35.38586957
CBS News/New York Times, 10/29/2008,22,70,-48,Bush,A-,0.43547945,3.7,22.21773973,69.78226028,-47.56452055
Pew Research Center, 10/26/2008,22,70,-48,Bush,B-,0.62980392,2.7,22.31490196,69.68509804,-47.37019608
Newsweek, 10/23/2008,23,67,-44,Bush,C,0,2,23,67,-44
CBS News/New York Times, 10/22/2008,22,72,-50,Bush,A-,0.43547945,3.7,22.21773973,71.78226028,-49.56452055
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/21/2008,29,66,-37,Bush,A,0.61413043,4,29.30706522,65.69293479,-36.38586957
NBC News/Wall Street Journal, 10/20/2008,27,66,-39,Bush,A-,0.80923077,3.7,27.40461539,65.59538462,-38.19076923
CNN/Opinion Research Corp., 10/19/2008,27,72,-45,Bush,B+,0.0607,3.3,27.03035,71.96965,-44.9393
Los Angeles Times, 10/13/2008,23,72,-49,Bush,A-,-0.42716981,3.7,22.7864151,72.21358491,-49.42716981
CBS News/New York Times, 10/13/2008,24,66,-42,Bush,A-,0.43547945,3.7,24.21773973,65.78226028,-41.56452055
Gallup, 10/12/2008,25,71,-46,Bush,B,-0.90473684,3,24.54763158,71.45236842,-46.90473684
Pew Research Center, 10/12/2008,25,67,-42,Bush,B-,0.62980392,2.7,25.31490196,66.68509804,-41.37019608
ABC News/Washington Post, 10/11/2008,23,73,-50,Bush,A+,0.61341176,4,23.30670588,72.69329412,-49.38658824
YouGov, 12/27/2016,51,44,7,Obama,B,0.26403361,3,50.8679832,44.13201681,6.73596639
YouGov, 12/20/2016,50,44,6,Obama,B,0.26403361,3,49.8679832,44.13201681,5.73596639
Ipsos, 12/20/2016,56,41,15,Obama,B+,0.5955,3.3,55.70225,41.29775,14.4045
Suffolk University, 12/18/2016,54,41,13,Obama,B+,0.59554054,3.3,53.70222973,41.29777027,12.40445946
NBC News/Wall Street Journal, 12/15/2016,52,42,10,Obama,A-,0.80923077,3.7,51.59538462,42.40461539,9.19076923
Fox News/Anderson Robbins Research/Shaw & Co. Research, 12/13/2016,53,41,12,Obama,A,0.61413043,4,52.69293479,41.30706522,11.38586957
YouGov, 12/13/2016,51,45,6,Obama,B,0.26403361,3,50.8679832,45.13201681,5.73596639
Ipsos, 12/13/2016,54,41,13,Obama,B+,0.5955,3.3,53.70225,41.29775,12.4045
CBS News/New York Times, 12/13/2016,56,36,20,Obama,A-,0.43547945,3.7,55.78226028,36.21773973,19.56452055
Public Policy Polling, 12/7/2016,50,45,5,Obama,B,0.26406832,3,49.86796584,45.13203416,4.73593168
Marist College, 12/9/2016,55,42,13,Obama,A,-0.45775194,4,55.22887597,41.77112403,13.45775194
Ipsos, 12/6/2016,53,42,11,Obama,B+,0.5955,3.3,52.70225,42.29775,10.4045
YouGov, 12/5/2016,52,45,7,Obama,B,0.26403361,3,51.8679832,45.13201681,6.73596639
Bloomberg, 12/5/2016,54,42,12,Obama,C,0,2,54,42,12
Pew Research Center, 12/5/2016,58,37,21,Obama,B-,0.62980392,2.7,57.68509804,37.31490196,20.37019608
IBD/TIPP, 12/4/2016,55,40,15,Obama,A-,-0.78254902,3.7,55.39127451,39.60872549,15.78254902
George Washington University (Battleground), 12/1/2016,53,42,11,Obama,B,-0.97508197,3,53.48754099,41.51245902,11.97508197
YouGov, 11/29/2016,52,45,7,Obama,B,0.26403361,3,51.8679832,45.13201681,6.73596639
Ipsos, 11/29/2016,53,42,11,Obama,B+,0.5955,3.3,52.70225,42.29775,10.4045
YouGov, 11/22/2016,55,41,14,Obama,B,0.26403361,3,54.8679832,41.13201681,13.73596639
Ipsos, 11/22/2016,53,40,13,Obama,B+,0.5955,3.3,52.70225,40.29775,12.4045
Quinnipiac University, 11/20/2016,50,43,7,Obama,A-,0.06815029,3.7,49.96592486,43.03407515,6.93184971
CNN/Opinion Research Corp., 11/20/2016,57,41,16,Obama,B+,0.0607,3.3,56.96965,41.03035,15.9393
The Atlantic, 11/21/2016,56,40,16,Obama,C,0,2,56,40,16
YouGov, 11/15/2016,51,45,6,Obama,B,0.26403361,3,50.8679832,45.13201681,5.73596639
Ipsos, 11/15/2016,50,44,6,Obama,B+,0.5955,3.3,49.70225,44.29775,5.4045
ABC News/Washington Post, 11/14/2016,56,40,16,Obama,A+,0.61341176,4,55.69329412,40.30670588,15.38658824
YouGov, 11/7/2016,50,49,1,Obama,B,0.26403361,3,49.8679832,49.13201681,0.73596639
Fox News/Anderson Robbins Research/Shaw & Co. Research, 11/6/2016,52,47,5,Obama,A,0.61413043,4,51.69293479,47.30706522,4.38586957
NBC News/Wall Street Journal, 11/5/2016,53,44,9,Obama,A-,0.80923077,3.7,52.59538462,44.40461539,8.19076923
Marist College, 11/3/2016,51,45,6,Obama,A,-0.45775194,4,51.22887597,44.77112403,6.45775194
Ipsos, 11/2/2016,51,45,6,Obama,B+,0.5955,3.3,50.70225,45.29775,5.4045
CBS News/New York Times, 11/1/2016,54,40,14,Obama,A-,0.43547945,3.7,53.78226028,40.21773973,13.56452055
YouGov, 11/1/2016,49,49,0,Obama,B,0.26403361,3,48.8679832,49.13201681,-0.26403361
YouGov, 10/26/2016,48,51,-3,Obama,B,0.26403361,3,47.8679832,51.13201681,-3.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/25/2016,53,46,7,Obama,A,0.61413043,4,52.69293479,46.30706522,6.38586957
Pew Research Center, 10/25/2016,54,42,12,Obama,B-,0.62980392,2.7,53.68509804,42.31490196,11.37019608
Suffolk University, 10/24/2016,54,41,13,Obama,B+,0.59554054,3.3,53.70222973,41.29777027,12.40445946
GfK Group, 10/24/2016,53,47,6,Obama,B,0.25490196,3,52.87254902,47.12745098,5.74509804
Ipsos, 10/24/2016,48,47,1,Obama,B+,0.5955,3.3,47.70225,47.29775,0.4045
CNN/Opinion Research Corp., 10/23/2016,55,43,12,Obama,B+,0.0607,3.3,54.96965,43.03035,11.9393
YouGov, 10/18/2016,50,48,2,Obama,B,0.26403361,3,49.8679832,48.13201681,1.73596639
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/17/2016,50,46,4,Obama,A,0.61413043,4,49.69293479,46.30706522,3.38586957
Bloomberg, 10/17/2016,51,44,7,Obama,C,0,2,51,44,7
Ipsos, 10/17/2016,51,45,6,Obama,B+,0.5955,3.3,50.70225,45.29775,5.4045
NBC News/Wall Street Journal, 10/13/2016,53,44,9,Obama,A-,0.80923077,3.7,52.59538462,44.40461539,8.19076923
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/12/2016,57,41,16,Obama,A,0.61413043,4,56.69293479,41.30706522,15.38586957
George Washington University (Battleground), 10/13/2016,53,44,9,Obama,B,-0.97508197,3,53.48754099,43.51245902,9.97508197
YouGov, 10/8/2016,49,49,0,Obama,B,0.26403361,3,48.8679832,49.13201681,-0.26403361
Ipsos, 10/10/2016,52,44,8,Obama,B+,0.5955,3.3,51.70225,44.29775,7.4045
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/6/2016,51,48,3,Obama,A,0.61413043,4,50.69293479,48.30706522,2.38586957
YouGov, 10/3/2016,49,49,0,Obama,B,0.26403361,3,48.8679832,49.13201681,-0.26403361
Ipsos, 10/3/2016,51,45,6,Obama,B+,0.5955,3.3,50.70225,45.29775,5.4045
CNN/Opinion Research Corp., 10/2/2016,55,44,11,Obama,B+,0.0607,3.3,54.96965,44.03035,10.9393
CBS News/New York Times, 10/2/2016,51,43,8,Obama,A-,0.43547945,3.7,50.78226028,43.21773973,7.56452055
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/29/2016,52,46,6,Obama,A,0.61413043,4,51.69293479,46.30706522,5.38586957
