State,District,Pollster,Sample,Type,Date,GOP,Dem
GA,12,Landmark Communications,500,LV,11/2/2014,47.3,45.7
GA,12,Landmark Communications,500,LV,10/30/2014,48.1,44.4
IL,12,We Ask America,909,LV,10/1/2014,45,40
HI,1,Ward Research (Honolulu Star-Advertiser),354,LV,10/18/2014,47,47
HI,2,Marketing Resource Group (MRG),604,LV,10/19/2014,45,45
HI,3,Marketing Resource Group (MRG),551,LV,9/14/2018,46,42
NY,1,Siena College,670,LV,10/29/2014,50,45
NY,1,Siena College,592,LV,9/11/2014,41,51
AZ,2,RRH Elections,554,LV,10/23/2014,46,48
IL,10,We Ask America,919,LV,9/30/2014,44,46
IA,1,Loras College,282,LV,10/24/2014,44,42
IA,1,Loras College,300,LV,9/5/2014,33,35
ME,2,Maine People's Resource Center,397,LV,11/2/2014,42.9,42
ME,2,Pan Atlantic SMS Group,186,LV,10/21/2014,37.7,38.9
ME,2,Portland Press Herald,291,LV,10/21/2014,41,40
ME,2,Critical Insights,295,LV,9/30/2014,41,36
ME,2,Pan Atlantic SMS Group,201,LV,9/24/2014,32.7,36.2
ME,2,Portland Press Herald,220,LV,9/25/2014,40,30
ME,2,Portland Press Herald,222,LV,6/18/2014,39,44
ME,1,Maine People's Resource Center,419,LV,11/2/2014,30.4,55.7
ME,1,Pan Atlantic SMS Group,214,LV,10/21/2014,18.3,62
ME,1,Pan Atlantic SMS Group,199,LV,9/24/2014,8.7,51.4
NH,1,University of New Hampshire,405,LV,11/2/2014,47,47
NH,1,University of New Hampshire,261,LV,10/26/2014,40,44
NH,1,University of New Hampshire,258,LV,10/5/2014,39,42
NH,1,University of New Hampshire,297,LV,8/14/2014,45,41
NH,1,University of New Hampshire,263,LV,7/14/2014,47,43
NH,1,University of New Hampshire,199,LV,4/14/2014,35,44
NH,1,University of New Hampshire,245,LV,1/14/2014,45,39
NH,1,University of New Hampshire,258,LV,8/13/2014,32,48
NH,2,University of New Hampshire,352,LV,11/2/2014,38,49
NH,2,University of New Hampshire,294,LV,10/26/2014,30,53
NH,2,University of New Hampshire,275,LV,10/5/2014,41,37
NH,2,University of New Hampshire,312,LV,8/14/2014,36,39
NH,2,University of New Hampshire,246,LV,7/14/2014,36,50
NH,2,University of New Hampshire,184,LV,4/14/2014,33,34
NH,2,University of New Hampshire,218,LV,1/14/2014,30,36
NH,1,New England College,778,LV,11/1/2014,52.2,42.9
NH,2,New England College,748,LV,11/1/2014,41.7,52.8
NH,1,New England College,556,LV,10/24/2014,49,42.9
NH,2,New England College,576,LV,10/24/2014,42,49.2
NH,1,New England College,461,LV,10/16/2014,47.4,45.7
NH,2,New England College,460,LV,10/16/2014,43.2,48.7
NH,1,New England College,536,LV,10/9/2014,46.3,43.5
NH,2,New England College,545,LV,10/9/2014,42.5,46.1
NH,1,New England College,626,LV,10/3/2014,44.2,46.7
NH,2,New England College,660,LV,10/3/2014,38.1,50.1
NH,1,New England College,629,LV,9/26/2014,50.8,40.5
NH,2,New England College,702,LV,9/26/2014,39,50.1
NH,1,New England College,715,LV,9/20/2014,45.2,45.2
NH,2,New England College,779,LV,9/20/2014,38.1,48.9
NY,11,Siena College,713,LV,10/28/2014,53,34
NY,11,Siena College,585,LV,9/14/2014,44,40
AR,2,Hendrix College,605,LV,10/16/2014,42,46
AR,2,Hendrix College,483,LV,7/25/2014,44,43
